Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
3,6.51,2.5,0.1819784775,7.094921379e-07
3,6.51,2.5,0.1899150509,7.510086125e-07
3,6.51,2.5,0.198197723,7.948288477e-07
3,6.51,2.5,0.2068415832,8.410764808e-07
3,6.51,2.5,0.2158623785,8.898826085e-07
3,6.51,2.5,0.2252765422,9.41479377e-07
3,6.51,2.5,0.2351012236,9.959234964e-07
3,6.51,2.5,0.2453543192,1.053367434e-06
3,6.51,2.5,0.2560545055,1.11397396e-06
3,6.51,2.5,0.2672212725,1.178025207e-06
3,6.51,2.5,0.2788749596,1.245594032e-06
3,6.51,2.5,0.291036792,1.316868431e-06
3,6.51,2.5,0.3037289199,1.392050421e-06
3,6.51,2.5,0.3169744582,1.471483128e-06
3,6.51,2.5,0.3307975285,1.55525968e-06
3,6.51,2.5,0.3452233035,1.643611848e-06
3,6.51,2.5,0.3602780519,1.736790275e-06
3,6.51,2.5,0.3759891866,1.83521252e-06
3,6.51,2.5,0.3923853141,1.938997115e-06
3,6.51,2.5,0.4094962868,2.048429756e-06
3,6.51,2.5,0.427353257,2.163821313e-06
3,6.51,2.5,0.445988733,2.285680193e-06
3,6.51,2.5,0.4654366386,2.414156711e-06
3,6.51,2.5,0.4857323744,2.549602973e-06
3,6.51,2.5,0.5069128818,2.692404438e-06
3,6.51,2.5,0.5290167103,2.843180378e-06
3,6.51,2.5,0.5520840866,3.002120824e-06
3,6.51,2.5,0.5761569885,3.169659652e-06
3,6.51,2.5,0.6012792199,3.346274657e-06
3,6.51,2.5,0.6274964907,3.532720395e-06
3,6.51,2.5,0.6548564992,3.729236463e-06
3,6.51,2.5,0.6834090186,3.936357384e-06
3,6.51,2.5,0.7132059865,4.154675227e-06
3,6.51,2.5,0.7443015995,4.385109573e-06
3,6.51,2.5,0.7767524106,4.627961814e-06
3,6.51,2.5,0.8106174313,4.883890305e-06
3,6.51,2.5,0.8459582384,5.153628472e-06
3,6.51,2.5,0.8828390849,5.438297115e-06
3,6.51,2.5,0.9213270163,5.738274585e-06
3,6.51,2.5,0.9614919906,6.054371517e-06
3,6.51,2.5,1.003407005,6.387496084e-06
3,6.51,2.5,1.047148228,6.739014288e-06
3,6.51,2.5,1.092795135,7.109400214e-06
3,6.51,2.5,1.140430652,7.499651619e-06
3,6.51,2.5,1.190141306,7.910892548e-06
3,6.51,2.5,1.242017376,8.34478751e-06
3,6.51,2.5,1.296153063,8.801929542e-06
3,6.51,2.5,1.35264665,9.283546123e-06
3,6.51,2.5,1.411600685,9.79102767e-06
3,6.51,2.5,1.473122163,1.032640165e-05
3,6.51,2.5,1.537322715,1.089040867e-05
3,6.51,2.5,1.604318811,1.148455787e-05
3,6.51,2.5,1.674231967,1.211056788e-05
3,6.51,2.5,1.747188962,1.277090668e-05
3,6.51,2.5,1.823322063,1.346649767e-05
3,6.51,2.5,1.902769265,1.419919469e-05
3,6.51,2.5,1.985674531,1.497111997e-05
3,6.51,2.5,2.072188053,1.578527482e-05
3,6.51,2.5,2.162466518,1.664280857e-05
3,6.51,2.5,2.256673382,1.754599587e-05
3,6.51,2.5,2.354979168,1.849745392e-05
3,6.51,2.5,2.45756176,1.950082747e-05
3,6.51,2.5,2.564606724,2.055754429e-05
3,6.51,2.5,2.67630763,2.167039114e-05
3,6.51,2.5,2.792866399,2.284258982e-05
3,6.51,2.5,2.914493656,2.407855773e-05
3,6.51,2.5,3.041409102,2.538006462e-05
3,6.51,2.5,3.173841899,2.675051746e-05
3,6.51,2.5,3.312031071,2.819387279e-05
3,6.51,2.5,3.456225926,2.971546958e-05
3,6.51,2.5,3.606686487,3.131749565e-05
3,6.51,2.5,3.763683949,3.300410441e-05
3,6.51,2.5,3.927501153,3.478013869e-05
3,6.51,2.5,4.098433073,3.665202651e-05
3,6.51,2.5,4.276787328,3.862246359e-05
3,6.51,2.5,4.462884721,4.06964939e-05
3,6.51,2.5,4.657059783,4.288001843e-05
3,6.51,2.5,4.859661358,4.518073542e-05
3,6.51,2.5,5.071053196,4.760195271e-05
3,6.51,2.5,5.291614582,5.01497638e-05
3,6.51,2.5,5.521740978,5.283131498e-05
3,6.51,2.5,5.761844703,5.565575869e-05
3,6.51,2.5,6.012355631,5.862713261e-05
3,6.51,2.5,6.273721918,6.175274622e-05
3,6.51,2.5,6.546410761,6.504118151e-05
3,6.51,2.5,6.830909184,6.850321137e-05
3,6.51,2.5,7.127724852,7.214373152e-05
3,6.51,2.5,7.437386926,7.597142671e-05
3,6.51,2.5,7.760446935,7.999648527e-05
3,6.51,2.5,8.097479697,8.423141423e-05
3,6.51,2.5,8.449084267,8.868209996e-05
3,6.51,2.5,8.815884919,9.335872914e-05
3,6.51,2.5,9.198532169,9.827320818e-05
3,6.51,2.5,9.597703837,0.0001034397847
3,6.51,2.5,10.01410614,0.0001088654628
3,6.51,2.5,10.44847484,0.0001145619856
3,6.51,2.5,10.90157642,0.0001205429693
3,6.51,2.5,11.37420928,0.000126824222
3,6.51,2.5,11.86720506,0.0001334139747
3,6.51,2.5,12.38142989,0.0001403254529
