Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
11,23,2.5,0.1965626306,1.460005512e-07
11,23,2.5,0.2051351858,1.545240304e-07
11,23,2.5,0.2140815672,1.635198083e-07
11,23,2.5,0.2234180725,1.730132174e-07
11,23,2.5,0.2331617096,1.830311173e-07
11,23,2.5,0.2433302275,1.936209913e-07
11,23,2.5,0.2539421487,2.047945367e-07
11,23,2.5,0.2650168025,2.165829918e-07
11,23,2.5,0.2765743606,2.290197039e-07
11,23,2.5,0.2886358734,2.421623907e-07
11,23,2.5,0.3012233082,2.560260633e-07
11,23,2.5,0.3143595895,2.706492379e-07
11,23,2.5,0.3280686401,2.860733003e-07
11,23,2.5,0.3423754252,3.023684571e-07
11,23,2.5,0.3573059968,3.195538775e-07
11,23,2.5,0.372887542,3.376770446e-07
11,23,2.5,0.3891484316,3.567893027e-07
11,23,2.5,0.406118272,3.769761e-07
11,23,2.5,0.4238279584,3.982618147e-07
11,23,2.5,0.4423097316,4.207049745e-07
11,23,2.5,0.4615972358,4.443692588e-07
11,23,2.5,0.4817255798,4.693587168e-07
11,23,2.5,0.5027314006,4.957042423e-07
11,23,2.5,0.5246529301,5.23477964e-07
11,23,2.5,0.5475300638,5.527588351e-07
11,23,2.5,0.5714044334,5.83673605e-07
11,23,2.5,0.5963194821,6.162613057e-07
11,23,2.5,0.6223205434,6.50610811e-07
11,23,2.5,0.6494549226,6.868199806e-07
11,23,2.5,0.6777719829,7.250432601e-07
11,23,2.5,0.7073232345,7.65329836e-07
11,23,2.5,0.7381624275,8.077891894e-07
11,23,2.5,0.7703456493,8.525425747e-07
11,23,2.5,0.8039314256,8.997782176e-07
11,23,2.5,0.8389808263,9.495579604e-07
11,23,2.5,0.8755575756,1.002016634e-06
11,23,2.5,0.9137281668,1.057304424e-06
11,23,2.5,0.9535619827,1.115650738e-06
11,23,2.5,0.9951314198,1.177133172e-06
11,23,2.5,1.038512019,1.241917721e-06
11,23,2.5,1.083782603,1.310190331e-06
11,23,2.5,1.131025416,1.382230567e-06
11,23,2.5,1.180326271,1.45813562e-06
11,23,2.5,1.231774707,1.538109765e-06
11,23,2.5,1.285464149,1.622383099e-06
11,23,2.5,1.341492073,1.711296227e-06
11,23,2.5,1.399960184,1.804970671e-06
11,23,2.5,1.460974597,1.903657673e-06
11,23,2.5,1.524646026,2.007641786e-06
11,23,2.5,1.591089985,2.117337774e-06
11,23,2.5,1.66042699,2.232897327e-06
11,23,2.5,1.732782779,2.354629234e-06
11,23,2.5,1.808288535,2.482885088e-06
11,23,2.5,1.887081118,2.618169572e-06
11,23,2.5,1.969303311,2.760671711e-06
11,23,2.5,2.055104073,2.910770653e-06
11,23,2.5,2.144638804,3.068900338e-06
11,23,2.5,2.238069622,3.235674158e-06
11,23,2.5,2.33556565,3.411327235e-06
11,23,2.5,2.437303315,3.596324496e-06
11,23,2.5,2.543466661,3.791200707e-06
11,23,2.5,2.654247672,3.996700163e-06
11,23,2.5,2.769846617,4.213114722e-06
11,23,2.5,2.890472396,4.441013486e-06
11,23,2.5,3.01634291,4.681054128e-06
11,23,2.5,3.147685447,4.934137696e-06
11,23,2.5,3.284737077,5.200625596e-06
11,23,2.5,3.427745067,5.481212778e-06
11,23,2.5,3.576967317,5.776705822e-06
11,23,2.5,3.732672807,6.088192027e-06
11,23,2.5,3.895142067,6.416117614e-06
11,23,2.5,4.064667662,6.761328441e-06
11,23,2.5,4.241554705,7.124809963e-06
11,23,2.5,4.426121379,7.507868396e-06
11,23,2.5,4.618699491,7.911052669e-06
11,23,2.5,4.819635042,8.335387775e-06
11,23,2.5,5.029288821,8.78207149e-06
11,23,2.5,5.248037025,9.252663424e-06
11,23,2.5,5.476271903,9.747835752e-06
11,23,2.5,5.714402421,1.026882311e-05
11,23,2.5,5.962854961,1.081707109e-05
11,23,2.5,6.222074043,1.139442621e-05
11,23,2.5,6.492523073,1.200170678e-05
11,23,2.5,6.77468513,1.264038795e-05
11,23,2.5,7.069063767,1.33121976e-05
11,23,2.5,7.376183861,1.401929684e-05
11,23,2.5,7.696592484,1.476267449e-05
11,23,2.5,8.03085981,1.554407389e-05
11,23,2.5,8.379580059,1.63655332e-05
11,23,2.5,8.74337247,1.722954173e-05
11,23,2.5,9.122882321,1.813728332e-05
11,23,2.5,9.518781977,1.909078804e-05
11,23,2.5,9.931771979,2.009241672e-05
11,23,2.5,10.36258218,2.114497403e-05
11,23,2.5,10.81197291,2.224986112e-05
11,23,2.5,11.28073618,2.34093952e-05
11,23,2.5,11.76969698,2.462624261e-05
11,23,2.5,12.27971452,2.590346637e-05
11,23,2.5,12.81168361,2.724270214e-05
11,23,2.5,13.36653607,2.864652379e-05
11,23,2.5,13.94524212,3.011783677e-05
11,23,2.5,14.54881192,3.165983801e-05
11,23,2.5,15.17829705,3.327440665e-05
11,23,2.5,15.83479216,3.496429578e-05
11,23,2.5,16.51943659,3.673250862e-05
11,23,2.5,17.23341601,3.85821567e-05
11,23,2.5,17.97796424,4.051536155e-05
11,23,2.5,18.75436501,4.253491277e-05
11,23,2.5,19.5639538,4.464366525e-05
11,23,2.5,20.40811978,4.684430354e-05
11,23,2.5,21.28830773,4.913918169e-05
11,23,2.5,22.2060201,5.153090115e-05
11,23,2.5,23.16281905,5.402178849e-05
11,23,2.5,24.1603286,5.661361744e-05
11,23,2.5,25.2002368,5.930896382e-05
11,23,2.5,26.28429797,6.210992506e-05
11,23,2.5,27.414335,6.501776548e-05
11,23,2.5,28.59224167,6.803272134e-05
11,23,2.5,29.81998511,7.11575958e-05
11,23,2.5,31.09960819,7.439358172e-05
11,23,2.5,32.43323207,7.774019484e-05
11,23,2.5,33.82305871,8.119539683e-05
11,23,2.5,35.27137352,8.476226865e-05
11,23,2.5,36.78054798,8.84406444e-05
11,23,2.5,38.35304231,9.222748942e-05
11,23,2.5,39.99140823,9.611772081e-05
11,23,2.5,41.69829175,0.0001001148307
11,23,2.5,43.47643589,0.0001042168479
11,23,2.5,45.3286836,0.0001084173528
11,23,2.5,47.25798058,0.0001127075409
11,23,2.5,49.26737815,0.0001170915702
11,23,2.5,51.36003616,0.0001215653123
11,23,2.5,53.53922592,0.0001261182224
11,23,2.5,55.80833308,0.0001307373453
11,23,2.5,58.17086057,0.0001354278974
11,23,2.5,60.63043152,0.0001401834276
11,23,2.5,63.19079213,0.0001449887553
11,23,2.5,65.85581459,0.0001498267227
11,23,2.5,68.6294999,0.0001547040945
11,23,2.5,71.51598073,0.0001596121561
11,23,2.5,74.51952414,0.0001645308961
11,23,2.5,77.64453438,0.0001694393101
11,23,2.5,80.89555553,0.0001743462021
11,23,2.5,84.27727409,0.0001792408724
11,23,2.5,87.79452154,0.000184098643
11,23,2.5,91.45227678,0.0001888954262
11,23,2.5,95.25566847,0.0001936424969
11,23,2.5,99.20997732,0.0001983276721
11,23,2.5,103.3206382,0.0002029221821
11,23,2.5,107.5932422,0.0002073999982
11,23,2.5,112.0335384,0.0002117751892
11,23,2.5,116.647436,0.0002160348
11,23,2.5,121.4410055,0.0002201469823
11,23,2.5,126.4204806,0.0002240852494
11,23,2.5,131.592259,0.0002278666623
11,23,2.5,136.9629043,0.0002314784176
11,23,2.5,142.5391463,0.0002348870798
11,23,2.5,148.3278824,0.0002380675039
11,23,2.5,154.3361781,0.0002410398726
11,23,2.5,160.5712673,0.0002437927545
11,23,2.5,167.0405529,0.0002462932457
11,23,2.5,173.7516071,0.0002485196324
11,23,2.5,180.7121711,0.0002504950192
11,23,2.5,187.9301553,0.000252210334
11,23,2.5,195.4136386,0.000253635041
11,23,2.5,203.1708687,0.0002547521612
11,23,2.5,211.2102608,0.0002555870017
11,23,2.5,219.5403971,0.0002561338702
11,23,2.5,228.1700266,0.0002563671098
11,23,2.5,237.1080634,0.000256276623
11,23,2.5,246.3635863,0.0002558899822
11,23,2.5,255.9458374,0.0002552065822
11,23,2.5,265.8642215,0.0002542088896
11,23,2.5,276.1283045,0.0002528954287
11,23,2.5,286.7478127,0.0002512947694
11,23,2.5,297.7326315,0.0002494115999
11,23,2.5,309.0928042,0.0002472377341
11,23,2.5,320.8385314,0.0002447794095
11,23,2.5,332.98017,0.0002420642124
11,23,2.5,345.528232,0.0002391019663
11,23,2.5,358.4933843,0.0002358947316
11,23,2.5,371.8864481,0.0002324567136
11,23,2.5,385.7183983,0.0002288133329
11,23,2.5,400.0003635,0.0002249780614
11,23,2.5,414.7436262,0.0002209629047
11,23,2.5,429.9596231,0.0002167842136
11,23,2.5,445.6599452,0.0002124562775
11,23,2.5,461.8563394,0.0002079909577
11,23,2.5,478.560709,0.0002034035482
11,23,2.5,495.7851156,0.0001987085002
11,23,2.5,513.5417805,0.0001939186824
11,23,2.5,531.8430872,0.0001890472046
11,23,2.5,550.7015834,0.0001841092235
11,23,2.5,570.1299843,0.0001791222067
11,23,2.5,590.1411753,0.000174094511
11,23,2.5,610.7482158,0.0001690370583
11,23,2.5,631.9643432,0.000163980886
11,23,2.5,653.8029769,0.0001589428395
11,23,2.5,676.2777231,0.000153911199
11,23,2.5,699.4023798,0.0001488991048
11,23,2.5,723.1909422,0.0001439388588
11,23,2.5,747.6576084,0.0001390332344
11,23,2.5,772.8167854,0.0001341809244
11,23,2.5,798.683096,0.0001293964849
11,23,2.5,825.2713848,0.0001246912443
