Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
9,19,2.5,0.192748997,6.092756141e-08
9,19,2.5,0.201155249,6.448651285e-08
9,19,2.5,0.2099280768,6.824273736e-08
9,19,2.5,0.2190834621,7.220681729e-08
9,19,2.5,0.2286380832,7.638997315e-08
9,19,2.5,0.238609345,8.081204867e-08
9,19,2.5,0.2490154109,8.547792255e-08
9,19,2.5,0.2598752357,9.04006445e-08
9,19,2.5,0.2712085999,9.559414528e-08
9,19,2.5,0.283036146,1.010825448e-07
9,19,2.5,0.2953794157,1.068721056e-07
9,19,2.5,0.308260889,1.129789178e-07
9,19,2.5,0.3217040255,1.194202709e-07
9,19,2.5,0.3357333062,1.262255026e-07
9,19,2.5,0.3503742787,1.334026125e-07
9,19,2.5,0.3656536032,1.409714369e-07
9,19,2.5,0.3815991008,1.489534262e-07
9,19,2.5,0.3982398044,1.573842868e-07
9,19,2.5,0.4156060109,1.662741942e-07
9,19,2.5,0.4337293364,1.756475996e-07
9,19,2.5,0.4526427736,1.855311076e-07
9,19,2.5,0.4723807514,1.959681979e-07
9,19,2.5,0.4929791973,2.069717682e-07
9,19,2.5,0.514475603,2.185719535e-07
9,19,2.5,0.5369090915,2.308017413e-07
9,19,2.5,0.5603204886,2.437140992e-07
9,19,2.5,0.5847523966,2.573253257e-07
9,19,2.5,0.6102492714,2.716725546e-07
9,19,2.5,0.636857503,2.867966761e-07
9,19,2.5,0.6646254993,3.02762237e-07
9,19,2.5,0.6936037738,3.195897798e-07
9,19,2.5,0.7238450368,3.373250538e-07
9,19,2.5,0.7554042908,3.560187307e-07
9,19,2.5,0.7883389295,3.757494852e-07
9,19,2.5,0.8227088419,3.96543151e-07
9,19,2.5,0.8585765199,4.184560791e-07
9,19,2.5,0.8960071716,4.415510436e-07
9,19,2.5,0.9350688385,4.659239507e-07
9,19,2.5,0.9758325179,4.916072241e-07
9,19,2.5,1.018372292,5.186702552e-07
9,19,2.5,1.062765459,5.47190784e-07
9,19,2.5,1.109092674,5.772857233e-07
9,19,2.5,1.157438096,6.089956954e-07
9,19,2.5,1.207889533,6.424061222e-07
9,19,2.5,1.260538607,6.776132386e-07
9,19,2.5,1.315480913,7.147595471e-07
9,19,2.5,1.372816193,7.538958587e-07
9,19,2.5,1.432648515,7.951272853e-07
9,19,2.5,1.495086459,8.38572898e-07
9,19,2.5,1.56024331,8.84406339e-07
9,19,2.5,1.628237264,9.326910652e-07
9,19,2.5,1.699191634,9.835563471e-07
9,19,2.5,1.773235076,1.037149418e-06
9,19,2.5,1.850501816,1.09368176e-06
9,19,2.5,1.931131887,1.153232499e-06
9,19,2.5,2.015271382,1.215960505e-06
9,19,2.5,2.103072712,1.282047685e-06
9,19,2.5,2.194694877,1.351751405e-06
9,19,2.5,2.290303749,1.425170178e-06
9,19,2.5,2.390072366,1.50249906e-06
9,19,2.5,2.494181235,1.583962554e-06
9,19,2.5,2.602818657,1.669873512e-06
9,19,2.5,2.716181057,1.760354366e-06
9,19,2.5,2.834473328,1.855644302e-06
9,19,2.5,2.957909195,1.956019979e-06
9,19,2.5,3.086711591,2.061861092e-06
9,19,2.5,3.221113046,2.173319497e-06
9,19,2.5,3.361356095,2.290687985e-06
9,19,2.5,3.507693706,2.414306816e-06
9,19,2.5,3.660389717,2.54463577e-06
9,19,2.5,3.819719298,2.681862761e-06
9,19,2.5,3.985969433,2.826345358e-06
9,19,2.5,4.159439411,2.978500919e-06
9,19,2.5,4.340441352,3.138884468e-06
9,19,2.5,4.529300743,3.307727877e-06
9,19,2.5,4.726357,3.48546645e-06
9,19,2.5,4.931964053,3.67261024e-06
9,19,2.5,5.14649095,3.869826383e-06
9,19,2.5,5.370322496,4.077399978e-06
9,19,2.5,5.603859902,4.295858717e-06
9,19,2.5,5.847521472,4.525822836e-06
9,19,2.5,6.101743314,4.768089562e-06
9,19,2.5,6.366980076,5.023007878e-06
9,19,2.5,6.643705712,5.291213817e-06
9,19,2.5,6.932414282,5.573456539e-06
9,19,2.5,7.233620773,5.870681174e-06
9,19,2.5,7.547861968,6.183312512e-06
9,19,2.5,7.875697328,6.51211131e-06
9,19,2.5,8.217709924,6.857974232e-06
9,19,2.5,8.574507396,7.222009706e-06
9,19,2.5,8.946722953,7.604731162e-06
9,19,2.5,9.335016402,8.007039264e-06
9,19,2.5,9.740075224,8.429994047e-06
9,19,2.5,10.16261569,8.874876508e-06
9,19,2.5,10.60338399,9.342301813e-06
9,19,2.5,11.06315748,9.833321807e-06
9,19,2.5,11.54274585,1.034916885e-05
9,19,2.5,12.04299246,1.089129402e-05
9,19,2.5,12.56477563,1.146042656e-05
9,19,2.5,13.10901002,1.205777277e-05
9,19,2.5,13.67664808,1.268473294e-05
9,19,2.5,14.26868145,1.334290606e-05
9,19,2.5,14.88614255,1.403314569e-05
9,19,2.5,15.53010608,1.475680208e-05
9,19,2.5,16.20169069,1.551541667e-05
9,19,2.5,16.90206058,1.631068404e-05
9,19,2.5,17.63242731,1.714358879e-05
9,19,2.5,18.39405149,1.801559345e-05
9,19,2.5,19.18824465,1.892831957e-05
9,19,2.5,20.01637113,1.988346245e-05
9,19,2.5,20.87984997,2.08821398e-05
9,19,2.5,21.78015695,2.19258651e-05
9,19,2.5,22.71882661,2.301623045e-05
9,19,2.5,23.69745436,2.415478165e-05
9,19,2.5,24.71769865,2.534276684e-05
9,19,2.5,25.78128316,2.658165088e-05
9,19,2.5,26.88999909,2.787282362e-05
9,19,2.5,28.04570746,2.921746484e-05
9,19,2.5,29.25034151,3.06169478e-05
9,19,2.5,30.50590913,3.207254443e-05
9,19,2.5,31.81449531,3.358519361e-05
9,19,2.5,33.17826472,3.515542166e-05
9,19,2.5,34.59946425,3.678472413e-05
9,19,2.5,36.08042564,3.847398962e-05
9,19,2.5,37.62356818,4.022337507e-05
9,19,2.5,39.23140139,4.203240161e-05
9,19,2.5,40.90652779,4.390269611e-05
9,19,2.5,42.65164569,4.583453412e-05
9,19,2.5,44.46955199,4.782688349e-05
9,19,2.5,46.36314503,4.987786712e-05
9,19,2.5,48.33542751,5.198927755e-05
9,19,2.5,50.3895093,5.416052694e-05
9,19,2.5,52.52861042,5.638893379e-05
9,19,2.5,54.75606392,5.867083094e-05
9,19,2.5,57.07531878,6.100825214e-05
9,19,2.5,59.48994288,6.339950553e-05
9,19,2.5,62.00362588,6.583978926e-05
9,19,2.5,64.62018209,6.832331351e-05
9,19,2.5,67.34355338,7.085248075e-05
9,19,2.5,70.17781198,7.342429983e-05
9,19,2.5,73.12716333,7.603142011e-05
9,19,2.5,76.19594879,7.866571601e-05
9,19,2.5,79.38864837,8.133013972e-05
9,19,2.5,82.70988333,8.402029036e-05
9,19,2.5,86.16441883,8.672595296e-05
9,19,2.5,89.75716631,8.943664697e-05
9,19,2.5,93.49318599,9.215611924e-05
9,19,2.5,97.37768912,9.487859034e-05
9,19,2.5,101.4160402,9.759087373e-05
9,19,2.5,105.613759,0.0001002803851
9,19,2.5,109.9765226,0.0001029519678
9,19,2.5,114.5101674,0.0001055986771
9,19,2.5,119.2206903,0.0001082045358
9,19,2.5,124.1142508,0.0001107554148
