Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
5,10.7,2.5,0.1873821513,1.197112551e-06
5,10.7,2.5,0.1955543677,1.267099495e-06
5,10.7,2.5,0.2040829563,1.340967891e-06
5,10.7,2.5,0.2129834544,1.418925998e-06
5,10.7,2.5,0.2222720762,1.50119464e-06
5,10.7,2.5,0.2319657424,1.588164594e-06
5,10.7,2.5,0.2420821111,1.679931633e-06
5,10.7,2.5,0.2526396099,1.776752579e-06
5,10.7,2.5,0.263657469,1.878901596e-06
5,10.7,2.5,0.2751557569,1.986853641e-06
5,10.7,2.5,0.287155416,2.100731702e-06
5,10.7,2.5,0.2996783012,2.22085244e-06
5,10.7,2.5,0.3127472194,2.347556125e-06
5,10.7,2.5,0.3263859713,2.481420423e-06
5,10.7,2.5,0.3406193937,2.622602486e-06
5,10.7,2.5,0.3554734056,2.771492705e-06
5,10.7,2.5,0.3709750547,2.928513242e-06
5,10.7,2.5,0.3871525667,3.094367116e-06
5,10.7,2.5,0.4040353961,3.269254285e-06
5,10.7,2.5,0.4216542804,3.453655957e-06
5,10.7,2.5,0.4400412951,3.648095734e-06
5,10.7,2.5,0.4592299122,3.853429623e-06
5,10.7,2.5,0.4792550608,4.069911131e-06
5,10.7,2.5,0.5001531907,4.298133317e-06
5,10.7,2.5,0.5219623379,4.538745396e-06
5,10.7,2.5,0.5447221939,4.792790081e-06
5,10.7,2.5,0.5684741774,5.060587784e-06
5,10.7,2.5,0.5932615096,5.342869278e-06
5,10.7,2.5,0.6191292919,5.640439281e-06
5,10.7,2.5,0.6461245879,5.954568326e-06
5,10.7,2.5,0.6742965085,6.285660316e-06
5,10.7,2.5,0.7036963004,6.634615525e-06
5,10.7,2.5,0.734377439,7.002431111e-06
5,10.7,2.5,0.7663957253,7.390655505e-06
5,10.7,2.5,0.7998093858,7.799796691e-06
5,10.7,2.5,0.8346791785,8.23096348e-06
5,10.7,2.5,0.8710685021,8.685391065e-06
5,10.7,2.5,0.9090435106,9.164966714e-06
5,10.7,2.5,0.9486732323,9.670328016e-06
