Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
21,45,2.5,0.1872478286,1.402416003e-08
21,45,2.5,0.1954141857,1.484401747e-08
21,45,2.5,0.2039366596,1.570934216e-08
21,45,2.5,0.2128307761,1.66225736e-08
21,45,2.5,0.2221127379,1.758629843e-08
21,45,2.5,0.2317994536,1.860509387e-08
21,45,2.5,0.2419085686,1.968008197e-08
21,45,2.5,0.2524584972,2.081427104e-08
21,45,2.5,0.2634684559,2.201087258e-08
21,45,2.5,0.2749584987,2.327544981e-08
21,45,2.5,0.286949553,2.460944362e-08
21,45,2.5,0.299463458,2.60165633e-08
21,45,2.5,0.3125230043,2.750079466e-08
21,45,2.5,0.3261519752,2.906890409e-08
21,45,2.5,0.3403751901,3.072273273e-08
21,45,2.5,0.3552185491,3.246685356e-08
21,45,2.5,0.3707090805,3.430621174e-08
21,45,2.5,0.3868749897,3.624904213e-08
21,45,2.5,0.4037457101,3.829768739e-08
21,45,2.5,0.4213519571,4.045778448e-08
21,45,2.5,0.439725783,4.273546695e-08
21,45,2.5,0.4589006359,4.514076211e-08
21,45,2.5,0.4789114198,4.767664003e-08
21,45,2.5,0.4997945582,5.035004819e-08
21,45,2.5,0.5215880597,5.316859197e-08
21,45,2.5,0.5443315873,5.614448648e-08
21,45,2.5,0.56806653,5.928148583e-08
21,45,2.5,0.5928360777,6.258815129e-08
21,45,2.5,0.6186852994,6.607391061e-08
21,45,2.5,0.6456612249,6.975364918e-08
21,45,2.5,0.6738129297,7.363209964e-08
21,45,2.5,0.7031916235,7.771981004e-08
21,45,2.5,0.7338507434,8.202846395e-08
21,45,2.5,0.7658460499,8.657620524e-08
21,45,2.5,0.7992357277,9.136898665e-08
21,45,2.5,0.834080491,9.641980144e-08
21,45,2.5,0.8704436929,1.017431246e-07
21,45,2.5,0.9083914395,1.07361075e-07
21,45,2.5,0.9479927093,1.132811252e-07
21,45,2.5,0.9893194776,1.195192767e-07
21,45,2.5,1.032446846,1.260934571e-07
21,45,2.5,1.077453177,1.330306325e-07
21,45,2.5,1.124420237,1.403401666e-07
21,45,2.5,1.17343334,1.480417598e-07
21,45,2.5,1.224581505,1.561576078e-07
21,45,2.5,1.277957611,1.647205832e-07
21,45,2.5,1.33365857,1.737424011e-07
21,45,2.5,1.391785495,1.832473066e-07
21,45,2.5,1.452443883,1.932627673e-07
21,45,2.5,1.515743805,2.038288476e-07
21,45,2.5,1.581800105,2.149601815e-07
21,45,2.5,1.650732598,2.266865935e-07
21,45,2.5,1.722666294,2.390420564e-07
21,45,2.5,1.797731612,2.520753793e-07
21,45,2.5,1.876064618,2.658048158e-07
21,45,2.5,1.957807268,2.802670306e-07
21,45,2.5,2.043107656,2.955040119e-07
21,45,2.5,2.132120282,3.115751844e-07
21,45,2.5,2.225006324,3.285032813e-07
21,45,2.5,2.321933925,3.463333393e-07
21,45,2.5,2.42307849,3.651172036e-07
21,45,2.5,2.528622997,3.849271539e-07
21,45,2.5,2.638758321,4.057914569e-07
21,45,2.5,2.753683571,4.277653707e-07
21,45,2.5,2.873606439,4.509128304e-07
21,45,2.5,2.998743568,4.753216312e-07
21,45,2.5,3.129320932,5.010268554e-07
21,45,2.5,3.265574232,5.280962016e-07
21,45,2.5,3.407749309,5.566083781e-07
21,45,2.5,3.556102575,5.866698213e-07
21,45,2.5,3.71090146,6.1832398e-07
21,45,2.5,3.872424876,6.51653626e-07
21,45,2.5,4.040963707,6.867554294e-07
21,45,2.5,4.216821308,7.237580824e-07
21,45,2.5,4.400314033,7.627152572e-07
21,45,2.5,4.591771783,8.037278793e-07
21,45,2.5,4.791538571,8.469143058e-07
21,45,2.5,4.999973118,8.924295699e-07
21,45,2.5,5.217449464,9.403397626e-07
21,45,2.5,5.444357611,9.907674938e-07
21,45,2.5,5.681104183,1.043857056e-06
21,45,2.5,5.928113127,1.099794284e-06
21,45,2.5,6.185826421,1.15866024e-06
21,45,2.5,6.45470483,1.220603146e-06
21,45,2.5,6.735228674,1.2857979e-06
21,45,2.5,7.027898642,1.354465756e-06
21,45,2.5,7.333236624,1.426705645e-06
21,45,2.5,7.651786585,1.502695577e-06
21,45,2.5,7.984115461,1.582645907e-06
21,45,2.5,8.330814105,1.666817656e-06
21,45,2.5,8.692498252,1.755330819e-06
21,45,2.5,9.069809531,1.848397319e-06
21,45,2.5,9.463416512,1.946267525e-06
21,45,2.5,9.874015789,2.049245601e-06
21,45,2.5,10.3023331,2.157475972e-06
21,45,2.5,10.74912452,2.271208041e-06
21,45,2.5,11.21517761,2.390735644e-06
21,45,2.5,11.70131273,2.516407381e-06
21,45,2.5,12.2083843,2.64839546e-06
21,45,2.5,12.73728215,2.786988955e-06
21,45,2.5,13.28893288,2.932526262e-06
21,45,2.5,13.86430135,3.085398016e-06
21,45,2.5,14.46439211,3.24580728e-06
21,45,2.5,15.09025092,3.414082457e-06
21,45,2.5,15.74296641,3.590603382e-06
21,45,2.5,16.42367162,3.775794488e-06
21,45,2.5,17.13354573,3.969892155e-06
21,45,2.5,17.87381581,4.173259691e-06
21,45,2.5,18.64575857,4.38630857e-06
21,45,2.5,19.45070222,4.609480268e-06
21,45,2.5,20.29002839,4.843046044e-06
21,45,2.5,21.16517405,5.087393736e-06
21,45,2.5,22.07763354,5.342946879e-06
21,45,2.5,23.02896064,5.610135778e-06
21,45,2.5,24.02077066,5.889267072e-06
21,45,2.5,25.05474264,6.180734769e-06
21,45,2.5,26.13262159,6.484941647e-06
21,45,2.5,27.25622073,6.802264342e-06
21,45,2.5,28.42742389,7.133044472e-06
21,45,2.5,29.64818785,7.477654012e-06
21,45,2.5,30.92054482,7.836425498e-06
21,45,2.5,32.24660492,8.209623099e-06
21,45,2.5,33.62855873,8.597622746e-06
21,45,2.5,35.06867989,9.000735096e-06
21,45,2.5,36.56932772,9.419153562e-06
21,45,2.5,38.13294994,9.852954335e-06
21,45,2.5,39.76208534,1.030254794e-05
21,45,2.5,41.4593666,1.076813321e-05
21,45,2.5,43.22752304,1.124967491e-05
21,45,2.5,45.06938348,1.174697094e-05
21,45,2.5,46.98787907,1.226046937e-05
21,45,2.5,48.98604618,1.279019684e-05
21,45,2.5,51.06702929,1.333578017e-05
21,45,2.5,53.2340839,1.389663852e-05
21,45,2.5,55.49057944,1.447326509e-05
21,45,2.5,57.8400022,1.506544715e-05
21,45,2.5,60.28595822,1.567234803e-05
21,45,2.5,62.83217621,1.629290524e-05
21,45,2.5,65.48251043,1.692767138e-05
21,45,2.5,68.24094353,1.757612547e-05
21,45,2.5,71.11158939,1.823683311e-05
21,45,2.5,74.09869592,1.890815603e-05
21,45,2.5,77.20664776,1.959073046e-05
21,45,2.5,80.43996899,2.028366551e-05
21,45,2.5,83.8033257,2.09848002e-05
21,45,2.5,87.30152861,2.169185461e-05
21,45,2.5,90.93953543,2.240559089e-05
21,45,2.5,94.72245331,2.312471265e-05
21,45,2.5,98.65554106,2.384623908e-05
21,45,2.5,102.7442113,2.456724364e-05
21,45,2.5,106.9940326,2.528868353e-05
21,45,2.5,111.4107312,2.600886421e-05
21,45,2.5,116.0001931,2.672394796e-05
21,45,2.5,120.7684653,2.743042161e-05
21,45,2.5,125.7217577,2.812951226e-05
21,45,2.5,130.8664442,2.8819175e-05
21,45,2.5,136.2090642,2.949475108e-05
21,45,2.5,141.756323,3.015228584e-05
21,45,2.5,147.5150936,3.079336961e-05
21,45,2.5,153.4924165,3.141571889e-05
21,45,2.5,159.6955009,3.201399232e-05
21,45,2.5,166.1317247,3.258402828e-05
21,45,2.5,172.8086348,3.312786422e-05
21,45,2.5,179.7339473,3.364311331e-05
21,45,2.5,186.9155474,3.412392162e-05
21,45,2.5,194.3614886,3.456611184e-05
21,45,2.5,202.0799933,3.497215702e-05
21,45,2.5,210.0794511,3.53397232e-05
21,45,2.5,218.3684193,3.566277207e-05
21,45,2.5,226.9556212,3.593756279e-05
21,45,2.5,235.8499456,3.616724962e-05
21,45,2.5,245.0604461,3.635000226e-05
21,45,2.5,254.5963397,3.648033602e-05
21,45,2.5,264.4670058,3.655568466e-05
21,45,2.5,274.6819853,3.658004009e-05
21,45,2.5,285.2509793,3.655247387e-05
21,45,2.5,296.1838481,3.646869448e-05
21,45,2.5,307.4906102,3.632759155e-05
21,45,2.5,319.1814413,3.61338656e-05
21,45,2.5,331.2666731,3.588788888e-05
21,45,2.5,343.7567929,3.558742846e-05
21,45,2.5,356.6624427,3.523365254e-05
21,45,2.5,369.9944186,3.483214227e-05
21,45,2.5,383.7636705,3.438483649e-05
21,45,2.5,397.981302,3.389197549e-05
21,45,2.5,412.6585706,3.335633366e-05
21,45,2.5,427.8068873,3.278273913e-05
21,45,2.5,443.4378179,3.217343655e-05
21,45,2.5,459.5630836,3.153007996e-05
21,45,2.5,476.1945617,3.085570605e-05
21,45,2.5,493.3442876,3.015364364e-05
21,45,2.5,511.0244562,2.942640981e-05
21,45,2.5,529.2474239,2.867691595e-05
21,45,2.5,548.0257113,2.790813046e-05
21,45,2.5,567.3720056,2.712301515e-05
21,45,2.5,587.2991641,2.632455505e-05
21,45,2.5,607.8202174,2.551586294e-05
21,45,2.5,628.9483734,2.470024923e-05
21,45,2.5,650.6970214,2.387963761e-05
21,45,2.5,673.0797369,2.305570466e-05
21,45,2.5,696.1102863,2.22336461e-05
21,45,2.5,719.8026325,2.141744311e-05
