Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
13,26.91,2.5,0.2005985722,1.384291165e-07
13,26.91,2.5,0.2093471242,1.465058836e-07
13,26.91,2.5,0.2184771754,1.550300421e-07
13,26.91,2.5,0.2280053578,1.640255853e-07
13,26.91,2.5,0.2379490282,1.73517953e-07
13,26.91,2.5,0.2483262998,1.835520994e-07
13,26.91,2.5,0.259156075,1.941391213e-07
13,26.91,2.5,0.2704580797,2.053086058e-07
13,26.91,2.5,0.2822528991,2.170921362e-07
13,26.91,2.5,0.2945620155,2.295443589e-07
13,26.91,2.5,0.3074078467,2.426795101e-07
13,26.91,2.5,0.3208137873,2.565340693e-07
13,26.91,2.5,0.3348042509,2.711472327e-07
13,26.91,2.5,0.3494047143,2.865854726e-07
13,26.91,2.5,0.3646417639,3.028669647e-07
13,26.91,2.5,0.3805431442,3.200366795e-07
13,26.91,2.5,0.3971378075,3.38143244e-07
13,26.91,2.5,0.4144559672,3.572675625e-07
13,26.91,2.5,0.4325291519,3.774327442e-07
13,26.91,2.5,0.4513902632,3.986942184e-07
13,26.91,2.5,0.4710736348,4.211122916e-07
13,26.91,2.5,0.491615095,4.447854797e-07
13,26.91,2.5,0.5130520317,4.69743062e-07
13,26.91,2.5,0.5354234601,4.960533456e-07
13,26.91,2.5,0.5587700929,5.237910974e-07
13,26.91,2.5,0.583134415,5.530763223e-07
13,26.91,2.5,0.6085607593,5.839460052e-07
13,26.91,2.5,0.6350953877,6.164843047e-07
13,26.91,2.5,0.6627865745,6.507838847e-07
13,26.91,2.5,0.6916846937,6.869909614e-07
13,26.91,2.5,0.72184231,7.251521328e-07
13,26.91,2.5,0.7533142739,7.653710603e-07
13,26.91,2.5,0.7861578208,8.077625465e-07
13,26.91,2.5,0.8204326744,8.52504766e-07
13,26.91,2.5,0.8562011542,8.996562938e-07
13,26.91,2.5,0.8935282881,9.493447738e-07
13,26.91,2.5,0.9324819299,1.001712378e-06
13,26.91,2.5,0.9731328812,1.056976217e-06
13,26.91,2.5,1.015555019,1.115209774e-06
13,26.91,2.5,1.05982543,1.17657016e-06
13,26.91,2.5,1.106024546,1.241233352e-06
13,26.91,2.5,1.154236293,1.309463858e-06
13,26.91,2.5,1.204548238,1.381353685e-06
13,26.91,2.5,1.25705175,1.457096118e-06
13,26.91,2.5,1.31184216,1.536908842e-06
13,26.91,2.5,1.369018937,1.621113977e-06
13,26.91,2.5,1.42868586,1.709826522e-06
13,26.91,2.5,1.490951212,1.803284098e-06
13,26.91,2.5,1.555927965,1.901755771e-06
13,26.91,2.5,1.623733988,2.005633558e-06
13,26.91,2.5,1.694492257,2.115060936e-06
13,26.91,2.5,1.768331074,2.230329771e-06
13,26.91,2.5,1.845384294,2.351772289e-06
13,26.91,2.5,1.925791565,2.479865076e-06
13,26.91,2.5,2.009698579,2.614786811e-06
13,26.91,2.5,2.097257327,2.756895553e-06
13,26.91,2.5,2.188626374,2.906600933e-06
13,26.91,2.5,2.283971134,3.064481484e-06
13,26.91,2.5,2.38346417,3.230759272e-06
13,26.91,2.5,2.487285496,3.405872833e-06
13,26.91,2.5,2.595622893,3.590326281e-06
13,26.91,2.5,2.708672248,3.784820411e-06
13,26.91,2.5,2.826637892,3.989630558e-06
13,26.91,2.5,2.949732965,4.205292631e-06
13,26.91,2.5,3.078179787,4.432425412e-06
13,26.91,2.5,3.212210252,4.671875267e-06
13,26.91,2.5,3.352066232,4.923982625e-06
13,26.91,2.5,3.498,5.189400398e-06
13,26.91,2.5,3.650274674,5.468885446e-06
13,26.91,2.5,3.809164673,5.763455727e-06
13,26.91,2.5,3.974956193,6.073530692e-06
13,26.91,2.5,4.147947708,6.399902533e-06
13,26.91,2.5,4.328450485,6.743492555e-06
13,26.91,2.5,4.516789124,7.105518119e-06
13,26.91,2.5,4.713302114,7.486493806e-06
13,26.91,2.5,4.918342421,7.887375445e-06
13,26.91,2.5,5.13227809,8.309277163e-06
13,26.91,2.5,5.355492876,8.753643396e-06
13,26.91,2.5,5.5883869,9.221101975e-06
13,26.91,2.5,5.831377331,9.712797486e-06
13,26.91,2.5,6.084899092,1.023006518e-05
13,26.91,2.5,6.349405597,1.077460055e-05
13,26.91,2.5,6.625369516,1.134716429e-05
13,26.91,2.5,6.913283571,1.194911312e-05
13,26.91,2.5,7.213661357,1.258202779e-05
13,26.91,2.5,7.527038204,1.324786912e-05
13,26.91,2.5,7.853972064,1.39475509e-05
13,26.91,2.5,8.195044436,1.468265929e-05
13,26.91,2.5,8.550861323,1.545503446e-05
13,26.91,2.5,8.922054229,1.626689805e-05
13,26.91,2.5,9.309281188,1.711933609e-05
13,26.91,2.5,9.713227837,1.801416899e-05
13,26.91,2.5,10.13460852,1.895348976e-05
13,26.91,2.5,10.57416745,1.993974426e-05
13,26.91,2.5,11.03267988,2.097420697e-05
13,26.91,2.5,11.51095335,2.205891549e-05
13,26.91,2.5,12.00982897,2.319617433e-05
13,26.91,2.5,12.53018273,2.43885676e-05
13,26.91,2.5,13.07292686,2.563756941e-05
13,26.91,2.5,13.63901127,2.69453839e-05
13,26.91,2.5,14.22942499,2.831443237e-05
13,26.91,2.5,14.84519771,2.974728137e-05
13,26.91,2.5,15.4874013,3.124560991e-05
13,26.91,2.5,16.15715145,3.28116912e-05
13,26.91,2.5,16.85560934,3.44478939e-05
13,26.91,2.5,17.58398332,3.615652108e-05
13,26.91,2.5,18.34353072,3.793945754e-05
13,26.91,2.5,19.13555965,3.979888954e-05
13,26.91,2.5,19.96143091,4.173686828e-05
13,26.91,2.5,20.82255985,4.375508284e-05
13,26.91,2.5,21.72041844,4.585562688e-05
13,26.91,2.5,22.65653726,4.804037868e-05
13,26.91,2.5,23.63250763,5.031069791e-05
13,26.91,2.5,24.64998374,5.266720422e-05
13,26.91,2.5,25.71068486,5.511221781e-05
13,26.91,2.5,26.81639764,5.764702751e-05
13,26.91,2.5,27.96897838,6.02718185e-05
13,26.91,2.5,29.17035543,6.298560226e-05
13,26.91,2.5,30.42253162,6.57909764e-05
13,26.91,2.5,31.72758673,6.868831762e-05
13,26.91,2.5,33.08768,7.167606634e-05
13,26.91,2.5,34.50505275,7.47510528e-05
13,26.91,2.5,35.98203093,7.791625748e-05
13,26.91,2.5,37.52102788,8.117081715e-05
13,26.91,2.5,39.12454697,8.451081755e-05
13,26.91,2.5,40.79518435,8.793037806e-05
13,26.91,2.5,42.53563179,9.143304343e-05
13,26.91,2.5,44.34867944,9.501643117e-05
13,26.91,2.5,46.23721869,9.867370096e-05
13,26.91,2.5,48.20424504,0.0001023958797
13,26.91,2.5,50.25286101,0.0001061873501
13,26.91,2.5,52.38627902,0.0001100440466
13,26.91,2.5,54.60782429,0.0001139557726
13,26.91,2.5,56.92093781,0.0001179103412
13,26.91,2.5,59.32917919,0.0001219133346
13,26.91,2.5,61.83622963,0.0001259590157
13,26.91,2.5,64.44589476,0.0001300336461
13,26.91,2.5,67.16210753,0.0001341220516
13,26.91,2.5,69.98893106,0.0001382314325
13,26.91,2.5,72.93056143,0.0001423546097
13,26.91,2.5,75.99133043,0.0001464744482
13,26.91,2.5,79.17570828,0.0001505734031
13,26.91,2.5,82.48830627,0.0001546606984
13,26.91,2.5,85.93387929,0.0001587281438
13,26.91,2.5,89.5173284,0.0001627556872
13,26.91,2.5,93.24370316,0.0001667243229
13,26.91,2.5,97.11820397,0.0001706455526
13,26.91,2.5,101.1461843,0.0001745106973
13,26.91,2.5,105.3331527,0.0001782974914
13,26.91,2.5,109.6847749,0.0001819864905
13,26.91,2.5,114.2068754,0.0001855914843
13,26.91,2.5,118.9054396,0.0001891038169
13,26.91,2.5,123.786615,0.0001924998236
13,26.91,2.5,128.8567126,0.000195760583
13,26.91,2.5,134.1222084,0.0001989018818
13,26.91,2.5,139.5897444,0.0002019154297
13,26.91,2.5,145.2661295,0.0002047768005
13,26.91,2.5,151.1583403,0.0002074680853
13,26.91,2.5,157.2735217,0.0002100062616
13,26.91,2.5,163.6189873,0.0002123832515
13,26.91,2.5,170.2022198,0.0002145739568
13,26.91,2.5,177.030871,0.00021656143
13,26.91,2.5,184.1127618,0.0002183631263
13,26.91,2.5,191.4558821,0.0002199714533
13,26.91,2.5,199.0683901,0.0002213620373
13,26.91,2.5,206.9586124,0.0002225212812
13,26.91,2.5,215.1350427,0.0002234690546
13,26.91,2.5,223.6063418,0.0002242010644
13,26.91,2.5,232.3813362,0.0002246972919
13,26.91,2.5,241.4690174,0.0002249497344
13,26.91,2.5,250.8785408,0.0002249797414
13,26.91,2.5,260.619225,0.0002247861302
13,26.91,2.5,270.7005502,0.0002243537543
13,26.91,2.5,281.1321576,0.0002236797809
13,26.91,2.5,291.9238479,0.0002227856159
13,26.91,2.5,303.0855804,0.0002216734808
13,26.91,2.5,314.6274721,0.0002203345189
13,26.91,2.5,326.5597966,0.0002187715876
13,26.91,2.5,338.892983,0.0002170057945
13,26.91,2.5,351.6376157,0.0002150428878
13,26.91,2.5,364.8044336,0.0002128811417
13,26.91,2.5,378.4043292,0.00021052923
13,26.91,2.5,392.4483492,0.0002080064523
13,26.91,2.5,406.9476935,0.0002053217796
13,26.91,2.5,421.9137163,0.0002024821211
13,26.91,2.5,437.3579259,0.0001995005781
13,26.91,2.5,453.2919857,0.0001963941132
13,26.91,2.5,469.7277148,0.0001931757722
13,26.91,2.5,486.67709,0.000189858126
13,26.91,2.5,504.1522468,0.0001864561427
13,26.91,2.5,522.1654814,0.0001829846521
13,26.91,2.5,540.7292532,0.0001794570981
13,26.91,2.5,559.8561875,0.0001758950542
13,26.91,2.5,579.5590779,0.0001723204926
13,26.91,2.5,599.8508903,0.000168737377
13,26.91,2.5,620.7447663,0.000165154997
13,26.91,2.5,642.2540272,0.0001615975101
13,26.91,2.5,664.3921789,0.0001580700415
13,26.91,2.5,687.1729161,0.0001545655742
13,26.91,2.5,710.6101278,0.0001510956033
13,26.91,2.5,734.7179031,0.0001476693254
13,26.91,2.5,759.5105366,0.0001442809781
13,26.91,2.5,785.002535,0.0001409309226
13,26.91,2.5,811.2086238,0.0001376172986
