Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
24,52.05541,2.5,0.1827943541,5.757689214e-08
24,52.05541,2.5,0.1907665036,6.094524786e-08
24,52.05541,2.5,0.1990863026,6.450048697e-08
24,52.05541,2.5,0.2077689081,6.82526384e-08
24,52.05541,2.5,0.2168301376,7.221233616e-08
24,52.05541,2.5,0.2262864979,7.63984076e-08
24,52.05541,2.5,0.2361552151,8.081545602e-08
24,52.05541,2.5,0.2464542659,8.547584894e-08
24,52.05541,2.5,0.2572024103,9.039278938e-08
24,52.05541,2.5,0.2684192256,9.558915918e-08
24,52.05541,2.5,0.2801251421,1.010708716e-07
24,52.05541,2.5,0.2923414801,1.068531761e-07
24,52.05541,2.5,0.3050904889,1.129524591e-07
24,52.05541,2.5,0.3183953867,1.193965497e-07
24,52.05541,2.5,0.3322804032,1.261930058e-07
24,52.05541,2.5,0.3467708234,1.333606275e-07
24,52.05541,2.5,0.3618930337,1.409197455e-07
24,52.05541,2.5,0.3776745696,1.489042264e-07
24,52.05541,2.5,0.3941441655,1.57323689e-07
24,52.05541,2.5,0.4113318072,1.662013074e-07
24,52.05541,2.5,0.4292687862,1.75562298e-07
24,52.05541,2.5,0.4479877562,1.854478961e-07
24,52.05541,2.5,0.4675227927,1.958702989e-07
24,52.05541,2.5,0.4879094543,2.068580676e-07
24,52.05541,2.5,0.5091848477,2.184424687e-07
24,52.05541,2.5,0.5313876941,2.306737308e-07
24,52.05541,2.5,0.5545584005,2.435672728e-07
24,52.05541,2.5,0.5787391317,2.571582891e-07
24,52.05541,2.5,0.6039738873,2.714855364e-07
24,52.05541,2.5,0.6303085813,2.866102172e-07
24,52.05541,2.5,0.6577911248,3.025517716e-07
24,52.05541,2.5,0.6864715131,3.193535586e-07
24,52.05541,2.5,0.7164019155,3.370636048e-07
24,52.05541,2.5,0.7476367704,3.557565006e-07
24,52.05541,2.5,0.7802328828,3.75456699e-07
24,52.05541,2.5,0.8142495274,3.962176051e-07
24,52.05541,2.5,0.8497485553,4.180987131e-07
24,52.05541,2.5,0.8867945061,4.411909386e-07
24,52.05541,2.5,0.9254547235,4.655249783e-07
24,52.05541,2.5,0.9657994774,4.911665917e-07
24,52.05541,2.5,1.00790209,5.181894512e-07
24,52.05541,2.5,1.051839068,5.46704368e-07
24,52.05541,2.5,1.097690242,5.767498061e-07
24,52.05541,2.5,1.145538905,6.084067081e-07
24,52.05541,2.5,1.195471968,6.417662627e-07
24,52.05541,2.5,1.247580115,6.769635067e-07
24,52.05541,2.5,1.301957961,7.140465557e-07
24,52.05541,2.5,1.358704229,7.531149948e-07
24,52.05541,2.5,1.41792192,7.94281631e-07
24,52.05541,2.5,1.479718504,8.377109634e-07
24,52.05541,2.5,1.544206108,8.834630836e-07
24,52.05541,2.5,1.611501717,9.316604385e-07
24,52.05541,2.5,1.681727386,9.824424791e-07
24,52.05541,2.5,1.755010455,1.036009475e-06
24,52.05541,2.5,1.831483777,1.092436354e-06
24,52.05541,2.5,1.911285957,1.15187355e-06
24,52.05541,2.5,1.994561593,1.214493292e-06
24,52.05541,2.5,2.081461543,1.280539175e-06
24,52.05541,2.5,2.172143183,1.350104468e-06
24,52.05541,2.5,2.266770692,1.423373793e-06
24,52.05541,2.5,2.365515344,1.500559589e-06
24,52.05541,2.5,2.468555806,1.581957763e-06
24,52.05541,2.5,2.576078461,1.667684199e-06
24,52.05541,2.5,2.688277731,1.757965142e-06
24,52.05541,2.5,2.805356423,1.853062192e-06
24,52.05541,2.5,2.927526089,1.953334128e-06
24,52.05541,2.5,3.055007391,2.058924626e-06
24,52.05541,2.5,3.188030497,2.170110389e-06
24,52.05541,2.5,3.326835476,2.287212823e-06
24,52.05541,2.5,3.471672726,2.410665802e-06
24,52.05541,2.5,3.622803407,2.540647004e-06
24,52.05541,2.5,3.780499897,2.677493942e-06
24,52.05541,2.5,3.945046269,2.821600273e-06
24,52.05541,2.5,4.116738781,2.9734888e-06
24,52.05541,2.5,4.29588639,3.133378559e-06
24,52.05541,2.5,4.48281129,3.301679753e-06
24,52.05541,2.5,4.677849463,3.478872506e-06
24,52.05541,2.5,4.881351263,3.665583658e-06
24,52.05541,2.5,5.093682011,3.862082183e-06
24,52.05541,2.5,5.315222629,4.068864203e-06
24,52.05541,2.5,5.546370282,4.286511955e-06
24,52.05541,2.5,5.787539063,4.515771953e-06
24,52.05541,2.5,6.039160689,4.756972875e-06
24,52.05541,2.5,6.301685236,5.010710831e-06
24,52.05541,2.5,6.575581899,5.277686428e-06
24,52.05541,2.5,6.861339779,5.558780545e-06
24,52.05541,2.5,7.159468703,5.854392336e-06
24,52.05541,2.5,7.470500077,6.165231787e-06
24,52.05541,2.5,7.794987768,6.492133106e-06
24,52.05541,2.5,8.133509024,6.836122772e-06
24,52.05541,2.5,8.486665423,7.197681795e-06
24,52.05541,2.5,8.855083864,7.57764592e-06
24,52.05541,2.5,9.239417591,7.976994359e-06
24,52.05541,2.5,9.640347255,8.396902978e-06
24,52.05541,2.5,10.05858202,8.837945951e-06
24,52.05541,2.5,10.4948607,9.301091789e-06
24,52.05541,2.5,10.94995293,9.787467784e-06
24,52.05541,2.5,11.42466045,1.029838971e-05
24,52.05541,2.5,11.91981827,1.083453513e-05
24,52.05541,2.5,12.4362961,1.139700324e-05
24,52.05541,2.5,12.97499962,1.198705758e-05
24,52.05541,2.5,13.53687193,1.260612305e-05
24,52.05541,2.5,14.122895,1.325498863e-05
24,52.05541,2.5,14.73409116,1.393486729e-05
24,52.05541,2.5,15.37152466,1.464712309e-05
24,52.05541,2.5,16.03630327,1.539322795e-05
24,52.05541,2.5,16.72957995,1.617408685e-05
24,52.05541,2.5,17.45255452,1.699098793e-05
24,52.05541,2.5,18.20647547,1.784532472e-05
24,52.05541,2.5,18.99264172,1.873851139e-05
24,52.05541,2.5,19.81240454,1.967156954e-05
24,52.05541,2.5,20.66716941,2.064579441e-05
24,52.05541,2.5,21.55839807,2.166248987e-05
24,52.05541,2.5,22.4876105,2.272285386e-05
24,52.05541,2.5,23.45638702,2.382802205e-05
24,52.05541,2.5,24.46637045,2.497919237e-05
24,52.05541,2.5,25.5192683,2.61773994e-05
24,52.05541,2.5,26.616855,2.742340532e-05
24,52.05541,2.5,27.76097425,2.871845737e-05
24,52.05541,2.5,28.95354137,3.006351206e-05
24,52.05541,2.5,30.19654569,3.145908655e-05
24,52.05541,2.5,31.49205306,3.290522826e-05
24,52.05541,2.5,32.84220832,3.440330144e-05
24,52.05541,2.5,34.24923792,3.595384166e-05
24,52.05541,2.5,35.71545248,3.75565349e-05
24,52.05541,2.5,37.2432495,3.921039285e-05
24,52.05541,2.5,38.83511602,4.091692376e-05
24,52.05541,2.5,40.49363137,4.267604303e-05
24,52.05541,2.5,42.22146998,4.448624523e-05
24,52.05541,2.5,44.02140412,4.634517881e-05
24,52.05541,2.5,45.89630684,4.825455819e-05
24,52.05541,2.5,47.84915472,5.021348291e-05
24,52.05541,2.5,49.88303084,5.221887876e-05
24,52.05541,2.5,52.00112766,5.426673715e-05
24,52.05541,2.5,54.20674989,5.635907661e-05
24,52.05541,2.5,56.50331748,5.849400619e-05
24,52.05541,2.5,58.89436845,6.066651403e-05
24,52.05541,2.5,61.38356188,6.287070426e-05
24,52.05541,2.5,63.97468073,6.510902298e-05
24,52.05541,2.5,66.67163477,6.737845139e-05
24,52.05541,2.5,69.4784634,6.96717155e-05
24,52.05541,2.5,72.39933843,7.198091219e-05
