Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
2,3.86,2.5,0.2303354833,0.0003797532539
2,3.86,2.5,0.2403807634,0.0004018257751
2,3.86,2.5,0.2508640745,0.0004251181556
2,3.86,2.5,0.2618045119,0.0004496957556
2,3.86,2.5,0.2732220031,0.0004756278713
2,3.86,2.5,0.2851373436,0.0005030366225
2,3.86,2.5,0.2975722347,0.0005319525611
2,3.86,2.5,0.3105493235,0.0005624562799
2,3.86,2.5,0.3240922431,0.0005946338015
2,3.86,2.5,0.3382256565,0.0006286336162
2,3.86,2.5,0.3529753006,0.0006644948477
2,3.86,2.5,0.3683680332,0.0007023168558
2,3.86,2.5,0.3844318819,0.0007422063861
2,3.86,2.5,0.4011960947,0.0007843441066
2,3.86,2.5,0.4186911932,0.0008287798878
2,3.86,2.5,0.4369490279,0.0008756362055
2,3.86,2.5,0.456002836,0.0009250454727
2,3.86,2.5,0.4758873017,0.0009772276207
2,3.86,2.5,0.496638619,0.001032245971
2,3.86,2.5,0.518294557,0.001090251464
2,3.86,2.5,0.540894529,0.001151408293
2,3.86,2.5,0.5644796634,0.001215984293
2,3.86,2.5,0.5890928779,0.001284059596
2,3.86,2.5,0.614778958,0.001355820179
2,3.86,2.5,0.6415846373,0.001431469569
2,3.86,2.5,0.6695586824,0.001511334027
2,3.86,2.5,0.6987519809,0.001595514667
2,3.86,2.5,0.7292176336,0.001684240572
2,3.86,2.5,0.7610110501,0.001777763926
2,3.86,2.5,0.7941900493,0.001876482217
2,3.86,2.5,0.8288149635,0.001980522708
2,3.86,2.5,0.8649487475,0.002090167489
2,3.86,2.5,0.9026570917,0.002205728887
2,3.86,2.5,0.9420085414,0.002327691156
2,3.86,2.5,0.9830746193,0.002456214118
2,3.86,2.5,1.025929955,0.002591644976
2,3.86,2.5,1.07065242,0.00273437034
2,3.86,2.5,1.117323266,0.002884980042
2,3.86,2.5,1.166027273,0.003043674378
2,3.86,2.5,1.216852899,0.003210880457
2,3.86,2.5,1.269892443,0.003387076512
2,3.86,2.5,1.325242207,0.003572980655
2,3.86,2.5,1.38300267,0.003768843414
2,3.86,2.5,1.44327867,0.003975189804
2,3.86,2.5,1.506179587,0.004192610875
2,3.86,2.5,1.571819545,0.004421980268
2,3.86,2.5,1.64031761,0.004663610732
2,3.86,2.5,1.711798008,0.004918146992
2,3.86,2.5,1.786390344,0.005186318683
2,3.86,2.5,1.864229832,0.005469187449
2,3.86,2.5,1.945457541,0.005767142928
2,3.86,2.5,2.030220639,0.006080975783
2,3.86,2.5,2.118672662,0.006411585335
2,3.86,2.5,2.210973781,0.006760259543
2,3.86,2.5,2.307291091,0.007127482757
2,3.86,2.5,2.407798903,0.007514222855
2,3.86,2.5,2.512679055,0.007921585969
2,3.86,2.5,2.622121232,0.00835113092
2,3.86,2.5,2.736323304,0.008803458256
2,3.86,2.5,2.855491672,0.009279749856
2,3.86,2.5,2.979841632,0.009781362324
2,3.86,2.5,3.109597754,0.01031017604
2,3.86,2.5,3.244994276,0.01086693333
2,3.86,2.5,3.386275514,0.01145307254
2,3.86,2.5,3.533696291,0.01207025094
2,3.86,2.5,3.687522381,0.0127207263
2,3.86,2.5,3.848030971,0.01340541275
2,3.86,2.5,4.015511145,0.01412605269
2,3.86,2.5,4.190264386,0.01488465986
2,3.86,2.5,4.372605096,0.01568392775
2,3.86,2.5,4.562861142,0.01652497672
2,3.86,2.5,4.761374421,0.01740990433
2,3.86,2.5,4.968501446,0.01834113946
2,3.86,2.5,5.184613959,0.0193218669
2,3.86,2.5,5.41009957,0.02035345151
2,3.86,2.5,5.645362413,0.02143839695
2,3.86,2.5,5.890823839,0.02257960322
2,3.86,2.5,6.146923125,0.02378078987
2,3.86,2.5,6.414118224,0.02504360689
2,3.86,2.5,6.692886532,0.02637100818
2,3.86,2.5,6.98372569,0.02776640813
2,3.86,2.5,7.28715442,0.02923407677
2,3.86,2.5,7.603713386,0.0307759897
2,3.86,2.5,7.933966097,0.03239557731
2,3.86,2.5,8.278499833,0.03409678227
2,3.86,2.5,8.637926619,0.03588438942
2,3.86,2.5,9.012884224,0.03776073623
2,3.86,2.5,9.404037202,0.03972972117
2,3.86,2.5,9.812077974,0.04179577428
2,3.86,2.5,10.23772795,0.0439640743
2,3.86,2.5,10.68173867,0.0462373476
2,3.86,2.5,11.14489304,0.04861989412
2,3.86,2.5,11.62800654,0.05111649978
2,3.86,2.5,12.13192854,0.05373248671
2,3.86,2.5,12.65754362,0.05647098318
2,3.86,2.5,13.20577293,0.05933653623
2,3.86,2.5,13.77757567,0.06233401942
2,3.86,2.5,14.37395052,0.06546846666
2,3.86,2.5,14.99593716,0.06874340527
2,3.86,2.5,15.64461788,0.07216335462
2,3.86,2.5,16.32111919,0.07573281891
2,3.86,2.5,17.02661347,0.07945588088
2,3.86,2.5,17.76232074,0.08333645364
2,3.86,2.5,18.52951043,0.08737860589
2,3.86,2.5,19.32950319,0.09158577818
2,3.86,2.5,20.16367283,0.09596017493
2,3.86,2.5,21.03344822,0.1005060899
2,3.86,2.5,21.94031533,0.105226558
2,3.86,2.5,22.88581926,0.1101229967
2,3.86,2.5,23.87156636,0.1151945474
2,3.86,2.5,24.89922641,0.1204459232
2,3.86,2.5,25.97053484,0.125878402
2,3.86,2.5,27.08729501,0.1314901662
2,3.86,2.5,28.25138052,0.1372759231
2,3.86,2.5,29.46473764,0.1432409416
2,3.86,2.5,30.72938772,0.149383941
2,3.86,2.5,32.04742969,0.1556984825
2,3.86,2.5,33.4210426,0.1621734318
2,3.86,2.5,34.85248821,0.168814911
2,3.86,2.5,36.34411364,0.1756183143
2,3.86,2.5,37.89835402,0.1825711712
2,3.86,2.5,39.51773524,0.1896552944
2,3.86,2.5,41.20487671,0.1968781732
2,3.86,2.5,42.96249412,0.2042312994
2,3.86,2.5,44.79340232,0.2116949606
2,3.86,2.5,46.70051814,0.2192431861
2,3.86,2.5,48.68686326,0.2268855903
2,3.86,2.5,50.75556715,0.2346095438
2,3.86,2.5,52.90986995,0.2423873475
2,3.86,2.5,55.15312537,0.2501852794
2,3.86,2.5,57.48880368,0.2580160453
2,3.86,2.5,59.92049457,0.2658631848
2,3.86,2.5,62.45191006,0.2736910014
2,3.86,2.5,65.08688744,0.2814590497
2,3.86,2.5,67.82939209,0.2891842222
2,3.86,2.5,70.68352036,0.2968471302
2,3.86,2.5,73.65350233,0.304405007
2,3.86,2.5,76.74370457,0.3118127341
2,3.86,2.5,79.95863288,0.3190923454
2,3.86,2.5,83.30293484,0.3262228995
2,3.86,2.5,86.78140247,0.3331563406
2,3.86,2.5,90.39897462,0.3398457156
2,3.86,2.5,94.16073942,0.3463188549
2,3.86,2.5,98.07193654,0.3525551023
2,3.86,2.5,102.1379594,0.3585038536
2,3.86,2.5,106.3643572,0.3641198372
2,3.86,2.5,110.756837,0.3694368421
2,3.86,2.5,115.3212653,0.3744364565
2,3.86,2.5,120.0636698,0.3790687593
2,3.86,2.5,124.9902413,0.3832937346
2,3.86,2.5,130.1073345,0.3871507746
2,3.86,2.5,135.4214696,0.3906258849
2,3.86,2.5,140.9393332,0.3936737633
2,3.86,2.5,146.6677795,0.3962632108
2,3.86,2.5,152.6138306,0.3984380674
2,3.86,2.5,158.7846775,0.4001903281
2,3.86,2.5,165.1876801,0.4014826813
2,3.86,2.5,171.830368,0.4022948926
2,3.86,2.5,178.7204398,0.4026727677
2,3.86,2.5,185.8657639,0.4026142814
2,3.86,2.5,193.2743777,0.4020913713
2,3.86,2.5,200.9544873,0.4010942083
2,3.86,2.5,208.914467,0.3996673783
2,3.86,2.5,217.162859,0.3978145106
2,3.86,2.5,225.7083722,0.3955181373
2,3.86,2.5,234.5598815,0.3927785515
2,3.86,2.5,243.726427,0.3896372833
2,3.86,2.5,253.2172128,0.3861034568
2,3.86,2.5,263.0416061,0.3821714685
2,3.86,2.5,273.2091361,0.3778518377
2,3.86,2.5,283.7294926,0.3731813932
2,3.86,2.5,294.6125254,0.3681741671
2,3.86,2.5,305.8682428,0.3628377923
2,3.86,2.5,317.506811,0.3571923739
2,3.86,2.5,329.5385526,0.3512695635
2,3.86,2.5,341.9739463,0.3450879187
2,3.86,2.5,354.823626,0.3386638796
2,3.86,2.5,368.0983801,0.3320196041
2,3.86,2.5,381.8091512,0.3251762239
2,3.86,2.5,395.967036,0.318150049
2,3.86,2.5,410.583285,0.3109654835
2,3.86,2.5,425.6693031,0.303649815
2,3.86,2.5,441.2366498,0.296215811
2,3.86,2.5,457.2970401,0.2886842102
2,3.86,2.5,473.8623454,0.2810894876
2,3.86,2.5,490.9445951,0.2734519352
2,3.86,2.5,508.5559781,0.2657749304
2,3.86,2.5,526.7088447,0.2580781189
2,3.86,2.5,545.4157092,0.2503940639
2,3.86,2.5,564.6892525,0.2427487941
2,3.86,2.5,584.5423249,0.2351414518
2,3.86,2.5,604.98795,0.2275778544
2,3.86,2.5,626.0393281,0.2200937075
2,3.86,2.5,647.7098405,0.2127112192
2,3.86,2.5,670.0130541,0.2054116685
2,3.86,2.5,692.9627263,0.1982146584
2,3.86,2.5,716.5728099,0.1911680806
2,3.86,2.5,740.8574594,0.1842610557
2,3.86,2.5,765.8310364,0.1774707961
2,3.86,2.5,791.5081164,0.1708204389
2,3.86,2.5,817.903495,0.1643334625
2,3.86,2.5,845.0321954,0.1580121605
2,3.86,2.5,872.9094757,0.1518508785
2,3.86,2.5,901.5508362,0.1458376891
2,3.86,2.5,930.9720278,0.1399883902
2,3.86,2.5,961.1890601,0.1343293866
2,3.86,2.5,992.2182102,0.1288262963
2,3.86,2.5,1024.076031,0.1234632492
2,3.86,2.5,1056.779361,0.1183016105
2,3.86,2.5,1090.345334,0.1133387541
2,3.86,2.5,1124.791388,0.1085098364
2,3.86,2.5,1160.135273,0.1038401122
2,3.86,2.5,1196.395067,0.09937903196
2,3.86,2.5,1233.58918,0.0950639786
2,3.86,2.5,1271.736368,0.09087217149
2,3.86,2.5,1310.855745,0.08684736799
2,3.86,2.5,1350.966789,0.08297956926
2,3.86,2.5,1392.089358,0.07923741139
2,3.86,2.5,1434.243699,0.07565842623
2,3.86,2.5,1477.45046,0.07223652186
2,3.86,2.5,1521.730703,0.06892627008
2,3.86,2.5,1567.105913,0.06574966262
2,3.86,2.5,1613.598013,0.06272165503
2,3.86,2.5,1661.229375,0.05979472898
2,3.86,2.5,1710.022832,0.05697012599
2,3.86,2.5,1760.001693,0.0542948877
