Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
20,40.11563,2.5,0.213707123,8.838120251e-08
20,40.11563,2.5,0.2230272994,9.352850279e-08
20,40.11563,2.5,0.2327538957,9.896060787e-08
20,40.11563,2.5,0.24290463,1.046927845e-07
20,40.11563,2.5,0.2534979921,1.107412194e-07
20,40.11563,2.5,0.2645532778,1.17134478e-07
20,40.11563,2.5,0.2760906235,1.238796579e-07
20,40.11563,2.5,0.2881310426,1.309955845e-07
20,40.11563,2.5,0.3006964642,1.385023529e-07
20,40.11563,2.5,0.3138097727,1.464346921e-07
20,40.11563,2.5,0.3274948491,1.548017e-07
20,40.11563,2.5,0.3417766149,1.636265871e-07
20,40.11563,2.5,0.3566810768,1.729342911e-07
20,40.11563,2.5,0.3722353741,1.827670629e-07
20,40.11563,2.5,0.3884678282,1.931365093e-07
20,40.11563,2.5,0.4054079936,2.040712432e-07
20,40.11563,2.5,0.4230867118,2.156022019e-07
20,40.11563,2.5,0.4415361671,2.277808161e-07
20,40.11563,2.5,0.4607899449,2.406218346e-07
20,40.11563,2.5,0.4808830927,2.541605247e-07
20,40.11563,2.5,0.5018521836,2.684352542e-07
20,40.11563,2.5,0.5237353826,2.835086582e-07
20,40.11563,2.5,0.5465725157,2.993994139e-07
20,40.11563,2.5,0.5704051417,3.161509831e-07
20,40.11563,2.5,0.595276628,3.338109346e-07
20,40.11563,2.5,0.621232229,3.524555767e-07
20,40.11563,2.5,0.6483191673,3.721084931e-07
20,40.11563,2.5,0.6765867201,3.928232333e-07
20,40.11563,2.5,0.7060863075,4.146587555e-07
20,40.11563,2.5,0.7368715858,4.377080514e-07
20,40.11563,2.5,0.7689985446,4.620008249e-07
20,40.11563,2.5,0.8025256074,4.876030402e-07
20,40.11563,2.5,0.8375137375,5.14587748e-07
20,40.11563,2.5,0.874026548,5.430682888e-07
20,40.11563,2.5,0.9121304162,5.730819931e-07
20,40.11563,2.5,0.9518946037,6.047100957e-07
20,40.11563,2.5,0.993391381,6.380430762e-07
20,40.11563,2.5,1.036696157,6.73219082e-07
20,40.11563,2.5,1.081887617,7.102849361e-07
20,40.11563,2.5,1.129047862,7.493406467e-07
20,40.11563,2.5,1.178262555,7.904982332e-07
20,40.11563,2.5,1.229621079,8.339260622e-07
20,40.11563,2.5,1.283216697,8.796827584e-07
20,40.11563,2.5,1.339146714,9.2789139e-07
20,40.11563,2.5,1.397512659,9.786905736e-07
20,40.11563,2.5,1.458420461,1.032285449e-06
20,40.11563,2.5,1.521980642,1.088749294e-06
20,40.11563,2.5,1.588308513,1.148233472e-06
20,40.11563,2.5,1.657524383,1.2109094e-06
20,40.11563,2.5,1.72975377,1.277026901e-06
20,40.11563,2.5,1.805127628,1.346677419e-06
20,40.11563,2.5,1.88378258,1.420046982e-06
20,40.11563,2.5,1.965861159,1.497347394e-06
20,40.11563,2.5,2.051512067,1.578882657e-06
20,40.11563,2.5,2.140890433,1.664766696e-06
20,40.11563,2.5,2.234158093,1.755227919e-06
20,40.11563,2.5,2.331483877,1.85052774e-06
20,40.11563,2.5,2.433043903,1.951035675e-06
20,40.11563,2.5,2.539021898,2.056893393e-06
20,40.11563,2.5,2.649609513,2.168380977e-06
20,40.11563,2.5,2.765006667,2.285820589e-06
20,40.11563,2.5,2.885421899,2.409660643e-06
20,40.11563,2.5,3.011072733,2.540076953e-06
20,40.11563,2.5,3.142186062,2.677412364e-06
20,40.11563,2.5,3.278998544,2.822063096e-06
20,40.11563,2.5,3.42175702,2.974572066e-06
20,40.11563,2.5,3.570718943,3.135156936e-06
20,40.11563,2.5,3.726152826,3.304236377e-06
20,40.11563,2.5,3.888338715,3.482296357e-06
20,40.11563,2.5,4.057568669,3.669992118e-06
20,40.11563,2.5,4.234147273,3.867592349e-06
20,40.11563,2.5,4.418392161,4.075606668e-06
20,40.11563,2.5,4.610634568,4.294628888e-06
20,40.11563,2.5,4.811219896,4.525446352e-06
20,40.11563,2.5,5.020508314,4.768389533e-06
20,40.11563,2.5,5.23887537,5.02407605e-06
20,40.11563,2.5,5.466712636,5.2932278e-06
20,40.11563,2.5,5.704428376,5.576785167e-06
20,40.11563,2.5,5.952448239,5.875152764e-06
20,40.11563,2.5,6.21121598,6.189074693e-06
20,40.11563,2.5,6.481194211,6.519422487e-06
20,40.11563,2.5,6.762865179,6.867310075e-06
20,40.11563,2.5,7.056731576,7.233229991e-06
20,40.11563,2.5,7.36331738,7.618071623e-06
20,40.11563,2.5,7.683168727,8.022877246e-06
20,40.11563,2.5,8.016854815,8.448951536e-06
20,40.11563,2.5,8.364968849,8.896889713e-06
20,40.11563,2.5,8.728129013,9.367743497e-06
20,40.11563,2.5,9.106979484,9.862743398e-06
20,40.11563,2.5,9.502191482,1.038339403e-05
20,40.11563,2.5,9.914464359,1.09304082e-05
20,40.11563,2.5,10.34452672,1.150501187e-05
20,40.11563,2.5,10.79313762,1.210863239e-05
20,40.11563,2.5,11.26108772,1.274296832e-05
20,40.11563,2.5,11.74920061,1.340886383e-05
20,40.11563,2.5,12.25833406,1.410772066e-05
20,40.11563,2.5,12.78938137,1.484115476e-05
20,40.11563,2.5,13.34327277,1.561102725e-05
20,40.11563,2.5,13.92097687,1.641832467e-05
20,40.11563,2.5,14.52350211,1.72646085e-05
20,40.11563,2.5,15.15189835,1.815164679e-05
20,40.11563,2.5,15.80725838,1.908139319e-05
20,40.11563,2.5,16.49071963,2.005498311e-05
20,40.11563,2.5,17.20346582,2.107409482e-05
20,40.11563,2.5,17.94672871,2.214056914e-05
20,40.11563,2.5,18.72178988,2.32563278e-05
20,40.11563,2.5,19.52998263,2.442265598e-05
20,40.11563,2.5,20.3726938,2.564126853e-05
20,40.11563,2.5,21.25136583,2.691393957e-05
20,40.11563,2.5,22.16749868,2.824236426e-05
20,40.11563,2.5,23.12265196,2.962797358e-05
20,40.11563,2.5,24.11844702,3.107239153e-05
20,40.11563,2.5,25.15656917,3.257710904e-05
20,40.11563,2.5,26.23876987,3.414331792e-05
20,40.11563,2.5,27.36686906,3.577259008e-05
20,40.11563,2.5,28.54275748,3.746627829e-05
20,40.11563,2.5,29.76839907,3.922528434e-05
20,40.11563,2.5,31.04583344,4.104993614e-05
20,40.11563,2.5,32.37717834,4.294195005e-05
20,40.11563,2.5,33.76463226,4.490217682e-05
20,40.11563,2.5,35.21047696,4.693053278e-05
20,40.11563,2.5,36.71708017,4.902605433e-05
20,40.11563,2.5,38.28689825,5.11906298e-05
20,40.11563,2.5,39.92247894,5.342434307e-05
20,40.11563,2.5,41.6264641,5.572565754e-05
20,40.11563,2.5,43.40159251,5.80918659e-05
20,40.11563,2.5,45.25070273,6.05251024e-05
20,40.11563,2.5,47.17673593,6.302441999e-05
20,40.11563,2.5,49.18273877,6.558633788e-05
20,40.11563,2.5,51.27186631,6.82060022e-05
20,40.11563,2.5,53.4473849,7.088593925e-05
20,40.11563,2.5,55.71267511,7.362396249e-05
20,40.11563,2.5,58.07123465,7.641421082e-05
20,40.11563,2.5,60.52668126,7.924943009e-05
20,40.11563,2.5,63.08275563,8.213277621e-05
20,40.11563,2.5,65.74332427,8.506073372e-05
20,40.11563,2.5,68.51238238,8.802477602e-05
20,40.11563,2.5,71.39405665,9.101523864e-05
20,40.11563,2.5,74.39260803,9.403622169e-05
20,40.11563,2.5,77.51243452,9.708294729e-05
20,40.11563,2.5,80.75807378,0.0001001441511
20,40.11563,2.5,84.13420576,0.0001032080126
20,40.11563,2.5,87.64565523,0.0001062798865
20,40.11563,2.5,91.29739425,0.0001093539165
20,40.11563,2.5,95.0945445,0.000112416208
20,40.11563,2.5,99.04237954,0.0001154532045
20,40.11563,2.5,103.146327,0.000118471697
20,40.11563,2.5,107.4119705,0.0001214649517
20,40.11563,2.5,111.8450517,0.0001244166267
20,40.11563,2.5,116.451472,0.000127311869
20,40.11563,2.5,121.2372943,0.0001301589041
20,40.11563,2.5,126.208744,0.0001329502841
20,40.11563,2.5,131.3722112,0.0001356674415
20,40.11563,2.5,136.7342511,0.0001382946831
20,40.11563,2.5,142.3015854,0.0001408415903
20,40.11563,2.5,148.0811029,0.0001433002164
20,40.11563,2.5,154.0798607,0.0001456501381
20,40.11563,2.5,160.3050842,0.0001478753742
20,40.11563,2.5,166.7641677,0.0001499867543
20,40.11563,2.5,173.4646745,0.0001519760777
20,40.11563,2.5,180.414337,0.0001538215016
20,40.11563,2.5,187.6210567,0.0001555072899
20,40.11563,2.5,195.0929035,0.0001570453936
20,40.11563,2.5,202.838116,0.0001584277985
20,40.11563,2.5,210.8651003,0.0001596322382
20,40.11563,2.5,219.1824295,0.0001606445736
20,40.11563,2.5,227.7988432,0.0001614785646
20,40.11563,2.5,236.7232463,0.0001621278768
20,40.11563,2.5,245.9647081,0.0001625722575
20,40.11563,2.5,255.5324614,0.0001628016244
20,40.11563,2.5,265.4359015,0.0001628322678
20,40.11563,2.5,275.6845849,0.0001626609344
20,40.11563,2.5,286.2882281,0.000162271465
20,40.11563,2.5,297.256707,0.0001616587764
20,40.11563,2.5,308.6000553,0.0001608406968
20,40.11563,2.5,320.3284638,0.0001598176729
20,40.11563,2.5,332.4522797,0.0001585798729
20,40.11563,2.5,344.9820051,0.0001571290813
20,40.11563,2.5,357.9282972,0.0001554852175
20,40.11563,2.5,371.301967,0.0001536542321
20,40.11563,2.5,385.1139794,0.0001516352692
20,40.11563,2.5,399.3754531,0.0001494372633
20,40.11563,2.5,414.0976604,0.0001470799323
20,40.11563,2.5,429.2920275,0.0001445727072
20,40.11563,2.5,444.9701352,0.0001419217819
20,40.11563,2.5,461.14372,0.0001391401936
20,40.11563,2.5,477.8246744,0.000136243131
20,40.11563,2.5,495.0250495,0.0001332398759
20,40.11563,2.5,512.7570556,0.0001301425776
20,40.11563,2.5,531.0330652,0.0001269655768
20,40.11563,2.5,549.8656149,0.0001237194213
20,40.11563,2.5,569.2674085,0.0001204173237
20,40.11563,2.5,589.2513199,0.0001170750759
20,40.11563,2.5,609.8303969,0.000113700972
20,40.11563,2.5,631.0178648,0.0001103013293
20,40.11563,2.5,652.827131,0.0001068863541
20,40.11563,2.5,675.2717892,0.0001034686744
20,40.11563,2.5,698.3656249,0.0001000606846
20,40.11563,2.5,722.1226203,9.666352155e-05
20,40.11563,2.5,746.5569603,9.327913879e-05
20,40.11563,2.5,771.6830386,8.99300645e-05
20,40.11563,2.5,797.5154641,8.66308683e-05
20,40.11563,2.5,824.0690675,8.336844614e-05
