Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
14,28.14,2.5,0.2127871256,9.467152395e-07
14,28.14,2.5,0.2220671841,1.001859422e-06
14,28.14,2.5,0.2317519135,1.060055076e-06
14,28.14,2.5,0.2418589557,1.121465782e-06
14,28.14,2.5,0.2524067211,1.186264978e-06
14,28.14,2.5,0.2634144223,1.254758773e-06
14,28.14,2.5,0.2749021092,1.327023183e-06
14,28.14,2.5,0.286890705,1.403259919e-06
14,28.14,2.5,0.2994020443,1.483684295e-06
14,28.14,2.5,0.3124589131,1.568668464e-06
14,28.14,2.5,0.3260850899,1.65830987e-06
14,28.14,2.5,0.3403053888,1.752857206e-06
14,28.14,2.5,0.3551457049,1.852577674e-06
14,28.14,2.5,0.3706330607,1.957924016e-06
14,28.14,2.5,0.386795656,2.069020553e-06
14,28.14,2.5,0.4036629181,2.186173858e-06
14,28.14,2.5,0.4212655561,2.309715407e-06
14,28.14,2.5,0.4396356158,2.440196291e-06
14,28.14,2.5,0.4588065385,2.577774482e-06
14,28.14,2.5,0.478813221,2.722827838e-06
14,28.14,2.5,0.4996920792,2.875767435e-06
14,28.14,2.5,0.5214811142,3.037264375e-06
14,28.14,2.5,0.5442199808,3.207518707e-06
14,28.14,2.5,0.5679500596,3.386996056e-06
14,28.14,2.5,0.5927145315,3.576206043e-06
14,28.14,2.5,0.6185584564,3.775966193e-06
14,28.14,2.5,0.6455288545,3.986529095e-06
14,28.14,2.5,0.6736747912,4.208468395e-06
14,28.14,2.5,0.7030474659,4.442415665e-06
14,28.14,2.5,0.7337003047,4.689367019e-06
14,28.14,2.5,0.7656890566,4.94964057e-06
14,28.14,2.5,0.7990718947,5.223942854e-06
14,28.14,2.5,0.8339095207,5.513056277e-06
14,28.14,2.5,0.8702652746,5.818194663e-06
14,28.14,2.5,0.9082052492,6.139757748e-06
14,28.14,2.5,0.947798409,6.478615449e-06
14,28.14,2.5,0.9891167145,6.835736606e-06
14,28.14,2.5,1.032235252,7.212600241e-06
14,28.14,2.5,1.077232368,7.609707644e-06
14,28.14,2.5,1.124189812,8.028129433e-06
14,28.14,2.5,1.173192882,8.469064672e-06
14,28.14,2.5,1.224330577,8.934315085e-06
14,28.14,2.5,1.277695759,9.424508136e-06
14,28.14,2.5,1.333385319,9.940960719e-06
14,28.14,2.5,1.391500348,1.048515584e-05
14,28.14,2.5,1.452146325,1.105928731e-05
14,28.14,2.5,1.515433297,1.16641391e-05
14,28.14,2.5,1.581476084,1.230132984e-05
14,28.14,2.5,1.650394478,1.297269215e-05
14,28.14,2.5,1.722313462,1.36808952e-05
14,28.14,2.5,1.79736343,1.442691675e-05
14,28.14,2.5,1.87568042,1.521274436e-05
