Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
4,7.93,2.5,0.2181367518,3.833983378e-07
4,7.93,2.5,0.2276500925,4.057162335e-07
4,7.93,2.5,0.2375782745,4.292686271e-07
4,7.93,2.5,0.2479393827,4.541216846e-07
4,7.93,2.5,0.2587522902,4.803455587e-07
4,7.93,2.5,0.2700366922,5.08064007e-07
4,7.93,2.5,0.2818131421,5.373078334e-07
4,7.93,2.5,0.2941030885,5.68158627e-07
4,7.93,2.5,0.3069289147,6.007034779e-07
4,7.93,2.5,0.3203139787,6.350928528e-07
4,7.93,2.5,0.3342826563,6.713662276e-07
4,7.93,2.5,0.3488603847,7.096241958e-07
4,7.93,2.5,0.3640737091,7.499748347e-07
4,7.93,2.5,0.3799503308,7.926012055e-07
4,7.93,2.5,0.3965191573,8.375536614e-07
4,7.93,2.5,0.4138103551,8.849562087e-07
4,7.93,2.5,0.4318554038,9.349429247e-07
4,7.93,2.5,0.450687154,9.877366523e-07
4,7.93,2.5,0.4703398861,1.043401364e-06
4,7.93,2.5,0.490849373,1.102089906e-06
4,7.93,2.5,0.5122529445,1.163968556e-06
4,7.93,2.5,0.5345895553,1.229308713e-06
4,7.93,2.5,0.5578998552,1.298191379e-06
4,7.93,2.5,0.5822262631,1.370804912e-06
4,7.93,2.5,0.6076130435,1.447355465e-06
4,7.93,2.5,0.6341063864,1.528173693e-06
4,7.93,2.5,0.6617544915,1.613361865e-06
4,7.93,2.5,0.6906076548,1.703152057e-06
4,7.93,2.5,0.7207183598,1.797799784e-06
4,7.93,2.5,0.7521413722,1.897708003e-06
4,7.93,2.5,0.7849338389,2.003005509e-06
4,7.93,2.5,0.8191553912,2.113978183e-06
4,7.93,2.5,0.8548682525,2.230942616e-06
4,7.93,2.5,0.8921373503,2.354389959e-06
4,7.93,2.5,0.9310304335,2.484482061e-06
4,7.93,2.5,0.9716181947,2.621570988e-06
4,7.93,2.5,1.013974397,2.766048868e-06
4,7.93,2.5,1.058176008,2.918514373e-06
4,7.93,2.5,1.104303336,3.079170495e-06
4,7.93,2.5,1.152440177,3.248450667e-06
4,7.93,2.5,1.202673965,3.426840379e-06
4,7.93,2.5,1.255095926,3.615069293e-06
4,7.93,2.5,1.309801247,3.81339155e-06
4,7.93,2.5,1.366889242,4.02234054e-06
4,7.93,2.5,1.426463533,4.242517041e-06
4,7.93,2.5,1.488632234,4.47481013e-06
4,7.93,2.5,1.553508146,4.719537465e-06
4,7.93,2.5,1.621208958,4.977355088e-06
4,7.93,2.5,1.691857456,5.249005975e-06
