Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
25,55,2.5,0.1776728117,1.114691714e-07
25,55,2.5,0.1854216193,1.171564358e-07
25,55,2.5,0.193508339,1.231219646e-07
25,55,2.5,0.2019477032,1.293790685e-07
25,55,2.5,0.2107550868,1.359417451e-07
25,55,2.5,0.2199465343,1.428302532e-07
25,55,2.5,0.2295387896,1.500546024e-07
25,55,2.5,0.2395493263,1.576308381e-07
25,55,2.5,0.249996379,1.655758966e-07
25,55,2.5,0.2608989773,1.739138961e-07
25,55,2.5,0.2722769794,1.826571331e-07
25,55,2.5,0.2841511091,1.918249468e-07
25,55,2.5,0.2965429928,2.014378231e-07
25,55,2.5,0.309475199,2.115244989e-07
25,55,2.5,0.3229712795,2.221000446e-07
25,55,2.5,0.3370558116,2.33187767e-07
25,55,2.5,0.3517544434,2.44812438e-07
25,55,2.5,0.3670939399,2.570083218e-07
25,55,2.5,0.3831022317,2.697938517e-07
25,55,2.5,0.3998084658,2.831971112e-07
25,55,2.5,0.4172430582,2.972480471e-07
25,55,2.5,0.4354377493,3.119875366e-07
25,55,2.5,0.4544256616,3.274380873e-07
25,55,2.5,0.4742413591,3.436335327e-07
25,55,2.5,0.4949209108,3.606100652e-07
25,55,2.5,0.5165019554,3.784164715e-07
25,55,2.5,0.5390237698,3.97080193e-07
25,55,2.5,0.5625273403,4.166419816e-07
25,55,2.5,0.5870554363,4.371455643e-07
25,55,2.5,0.6126526885,4.586491847e-07
25,55,2.5,0.6393656691,4.811862542e-07
25,55,2.5,0.6672429759,5.048058456e-07
25,55,2.5,0.696335321,5.295607703e-07
25,55,2.5,0.7266956214,5.555205713e-07
25,55,2.5,0.7583790954,5.827258797e-07
25,55,2.5,0.7914433622,6.112357692e-07
25,55,2.5,0.8259485455,6.411139965e-07
25,55,2.5,0.8619573826,6.724435927e-07
25,55,2.5,0.8995353372,7.052739142e-07
25,55,2.5,0.9387507175,7.39676044e-07
25,55,2.5,0.9796747994,7.757269135e-07
25,55,2.5,1.022381955,8.135256338e-07
25,55,2.5,1.066949786,8.531320972e-07
25,55,2.5,1.113459264,8.946317915e-07
25,55,2.5,1.161994875,9.38117485e-07
25,55,2.5,1.212644775,9.837074253e-07
25,55,2.5,1.265500941,1.031474213e-06
25,55,2.5,1.320659343,1.081520589e-06
25,55,2.5,1.378220115,1.133958323e-06
25,55,2.5,1.43828773,1.188928381e-06
25,55,2.5,1.500971194,1.246518675e-06
25,55,2.5,1.566384234,1.306852565e-06
25,55,2.5,1.634645507,1.370064565e-06
25,55,2.5,1.70587881,1.436322521e-06
25,55,2.5,1.780213299,1.505732764e-06
25,55,2.5,1.857783725,1.578443226e-06
25,55,2.5,1.938730668,1.654615555e-06
25,55,2.5,2.023200789,1.734449256e-06
25,55,2.5,2.111347094,1.818072769e-06
25,55,2.5,2.203329202,1.905663207e-06
25,55,2.5,2.299313632,1.997414433e-06
25,55,2.5,2.399474094,2.093563011e-06
25,55,2.5,2.503991799,2.194263851e-06
25,55,2.5,2.613055779,2.299728536e-06
25,55,2.5,2.726863222,2.410188943e-06
25,55,2.5,2.845619817,2.525924641e-06
25,55,2.5,2.969540119,2.647122126e-06
25,55,2.5,3.098847925,2.774033419e-06
25,55,2.5,3.233776665,2.906934866e-06
25,55,2.5,3.374569816,3.046155345e-06
25,55,2.5,3.521481323,3.191918878e-06
25,55,2.5,3.674776044,3.344524481e-06
25,55,2.5,3.834730215,3.50429989e-06
25,55,2.5,4.001631923,3.671629585e-06
25,55,2.5,4.175781616,3.846781915e-06
25,55,2.5,4.357492615,4.030109808e-06
25,55,2.5,4.54709166,4.221999389e-06
25,55,2.5,4.744919472,4.422896342e-06
25,55,2.5,4.951331341,4.633120988e-06
25,55,2.5,5.166697732,4.853087005e-06
25,55,2.5,5.391404923,5.083245252e-06
25,55,2.5,5.625855663,5.324106411e-06
25,55,2.5,5.870469855,5.576051181e-06
25,55,2.5,6.125685273,5.839559969e-06
25,55,2.5,6.391958297,6.115152837e-06
25,55,2.5,6.669764687,6.403405721e-06
25,55,2.5,6.959600382,6.704768629e-06
25,55,2.5,7.261982325,7.019792599e-06
25,55,2.5,7.577449331,7.349067562e-06
25,55,2.5,7.90656298,7.693228838e-06
25,55,2.5,8.249908546,8.05280485e-06
25,55,2.5,8.60809596,8.428417247e-06
25,55,2.5,8.981760813,8.820719805e-06
25,55,2.5,9.37156539,9.230391628e-06
25,55,2.5,9.77819975,9.658048325e-06
25,55,2.5,10.20238284,1.010437564e-05
25,55,2.5,10.64486364,1.057007443e-05
25,55,2.5,11.1064224,1.105583752e-05
25,55,2.5,11.58787181,1.156237553e-05
25,55,2.5,12.09005835,1.209042198e-05
25,55,2.5,12.61386359,1.264069197e-05
25,55,2.5,13.16020557,1.321384178e-05
25,55,2.5,13.73004022,1.381068348e-05
25,55,2.5,14.32436284,1.443196826e-05
25,55,2.5,14.94420958,1.507837026e-05
25,55,2.5,15.59065907,1.575043271e-05
25,55,2.5,16.26483401,1.644907408e-05
25,55,2.5,16.96790282,1.717501558e-05
25,55,2.5,17.7010814,1.792880602e-05
25,55,2.5,18.46563489,1.87107678e-05
25,55,2.5,19.2628795,1.952193043e-05
25,55,2.5,20.09418442,2.036291697e-05
25,55,2.5,20.96097371,2.12340321e-05
25,55,2.5,21.86472834,2.213523657e-05
25,55,2.5,22.80698825,2.306767789e-05
25,55,2.5,23.7893544,2.403179224e-05
25,55,2.5,24.81349099,2.502748503e-05
25,55,2.5,25.88112765,2.605418545e-05
25,55,2.5,26.99406171,2.711317291e-05
25,55,2.5,28.15416057,2.820459123e-05
25,55,2.5,29.363364,2.932775847e-05
25,55,2.5,30.62368664,3.048138442e-05
25,55,2.5,31.93722047,3.166690631e-05
25,55,2.5,33.30613733,3.288406092e-05
25,55,2.5,34.73269151,3.413136721e-05
25,55,2.5,36.2192224,3.540662712e-05
25,55,2.5,37.76815712,3.67114775e-05
25,55,2.5,39.38201325,3.804513499e-05
25,55,2.5,41.06340164,3.940509917e-05
25,55,2.5,42.81502909,4.078809762e-05
25,55,2.5,44.63970126,4.21960268e-05
25,55,2.5,46.5403255,4.362748518e-05
25,55,2.5,48.51991368,4.507874503e-05
25,55,2.5,50.58158513,4.654534054e-05
25,55,2.5,52.72856951,4.802950536e-05
25,55,2.5,54.96420976,4.952915143e-05
25,55,2.5,57.29196496,5.103915239e-05
25,55,2.5,59.71541332,5.255380147e-05
25,55,2.5,62.23825499,5.407575979e-05
25,55,2.5,64.86431505,5.560222824e-05
25,55,2.5,67.59754628,5.71265783e-05
25,55,2.5,70.44203206,5.864192435e-05
25,55,2.5,73.40198912,6.015148066e-05
25,55,2.5,76.48177031,6.165181741e-05
25,55,2.5,79.6858673,6.313487927e-05
25,55,2.5,83.01891317,6.45929068e-05
25,55,2.5,86.48568502,6.60299005e-05
25,55,2.5,90.09110639,6.744208077e-05
25,55,2.5,93.84024971,6.88203224e-05
25,55,2.5,97.73833853,7.015653824e-05
25,55,2.5,101.7907497,7.145570035e-05
25,55,2.5,106.0030156,7.271400671e-05
