Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
22,47.9183,2.5,0.1812538162,1.606734579e-07
22,47.9183,2.5,0.1891587856,1.688673594e-07
22,47.9183,2.5,0.1974084755,1.774620695e-07
22,47.9183,2.5,0.2060179153,1.864767594e-07
22,47.9183,2.5,0.2150027893,1.959315891e-07
22,47.9183,2.5,0.2243794653,2.058557224e-07
22,47.9183,2.5,0.2341650243,2.162635902e-07
22,47.9183,2.5,0.2443772916,2.271783021e-07
22,47.9183,2.5,0.2550348694,2.386242505e-07
22,47.9183,2.5,0.26615717,2.506361579e-07
22,47.9183,2.5,0.2777644518,2.632317491e-07
22,47.9183,2.5,0.2898778556,2.764388782e-07
22,47.9183,2.5,0.3025194433,2.902870502e-07
22,47.9183,2.5,0.3157122378,3.048176398e-07
22,47.9183,2.5,0.3294802647,3.20052368e-07
22,47.9183,2.5,0.3438485965,3.360248033e-07
22,47.9183,2.5,0.3588433971,3.527706247e-07
22,47.9183,2.5,0.3744919705,3.703391685e-07
22,47.9183,2.5,0.3908228093,3.887570001e-07
22,47.9183,2.5,0.4078656469,4.080645693e-07
22,47.9183,2.5,0.4256515116,4.283050092e-07
22,47.9183,2.5,0.4442127824,4.495371834e-07
22,47.9183,2.5,0.4635832479,4.717935268e-07
22,47.9183,2.5,0.4837981679,4.951227728e-07
22,47.9183,2.5,0.5048943367,5.195770522e-07
22,47.9183,2.5,0.5269101502,5.452266268e-07
22,47.9183,2.5,0.5498856751,5.721110386e-07
22,47.9183,2.5,0.573862722,6.002889898e-07
22,47.9183,2.5,0.5988849205,6.298234679e-07
22,47.9183,2.5,0.6249977985,6.607983661e-07
22,47.9183,2.5,0.6522488644,6.932618275e-07
22,47.9183,2.5,0.6806876933,7.27284546e-07
22,47.9183,2.5,0.710366016,7.629426026e-07
22,47.9183,2.5,0.7413378135,8.003361839e-07
22,47.9183,2.5,0.7736594134,8.395238354e-07
