Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
13,26.91,2.5,0.2005985722,4.179816232e-07
13,26.91,2.5,0.2093471242,4.392493595e-07
13,26.91,2.5,0.2184771754,4.615561966e-07
13,26.91,2.5,0.2280053578,4.849518147e-07
13,26.91,2.5,0.2379490282,5.09488454e-07
13,26.91,2.5,0.2483262998,5.352415128e-07
13,26.91,2.5,0.259156075,5.622485535e-07
13,26.91,2.5,0.2704580797,5.905694579e-07
13,26.91,2.5,0.2822528991,6.202674262e-07
13,26.91,2.5,0.2945620155,6.514322433e-07
13,26.91,2.5,0.3074078467,6.841100116e-07
13,26.91,2.5,0.3208137873,7.183728981e-07
13,26.91,2.5,0.3348042509,7.542973381e-07
13,26.91,2.5,0.3494047143,7.919903277e-07
13,26.91,2.5,0.3646417639,8.315083255e-07
13,26.91,2.5,0.3805431442,8.729382896e-07
13,26.91,2.5,0.3971378075,9.163726321e-07
13,26.91,2.5,0.4144559672,9.61938935e-07
13,26.91,2.5,0.4325291519,1.009706207e-06
13,26.91,2.5,0.4513902632,1.059779207e-06
13,26.91,2.5,0.4710736348,1.112269626e-06
13,26.91,2.5,0.491615095,1.167329659e-06
13,26.91,2.5,0.5130520317,1.225043512e-06
13,26.91,2.5,0.5354234601,1.28553736e-06
13,26.91,2.5,0.5587700929,1.348946144e-06
13,26.91,2.5,0.583134415,1.415451467e-06
13,26.91,2.5,0.6085607593,1.485155929e-06
13,26.91,2.5,0.6350953877,1.55821145e-06
13,26.91,2.5,0.6627865745,1.634780991e-06
13,26.91,2.5,0.6916846937,1.715081268e-06
13,26.91,2.5,0.72184231,1.799237123e-06
13,26.91,2.5,0.7533142739,1.887431399e-06
13,26.91,2.5,0.7861578208,1.979860803e-06
13,26.91,2.5,0.8204326744,2.07678391e-06
13,26.91,2.5,0.8562011542,2.178352444e-06
13,26.91,2.5,0.8935282881,2.284786355e-06
13,26.91,2.5,0.9324819299,2.396322924e-06
13,26.91,2.5,0.9731328812,2.513270563e-06
13,26.91,2.5,1.015555019,2.635813442e-06
13,26.91,2.5,1.05982543,2.764215973e-06
13,26.91,2.5,1.106024546,2.898764147e-06
13,26.91,2.5,1.154236293,3.03982556e-06
13,26.91,2.5,1.204548238,3.187623507e-06
13,26.91,2.5,1.25705175,3.342475567e-06
13,26.91,2.5,1.31184216,3.504726075e-06
13,26.91,2.5,1.369018937,3.674812685e-06
