Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
15,31,2.5,0.201282105,4.581509131e-08
15,31,2.5,0.2100604639,4.814599902e-08
15,31,2.5,0.2192216214,5.059078252e-08
15,31,2.5,0.2287822662,5.315488635e-08
15,31,2.5,0.2387598143,5.584403562e-08
15,31,2.5,0.2491724404,5.866649239e-08
15,31,2.5,0.2600391113,6.162637456e-08
15,31,2.5,0.2713796199,6.473024496e-08
15,31,2.5,0.2832146218,6.798503025e-08
15,31,2.5,0.2955656721,7.140057005e-08
15,31,2.5,0.3084552651,7.498191847e-08
15,31,2.5,0.3219068749,7.873698548e-08
15,31,2.5,0.3359449982,8.267414905e-08
15,31,2.5,0.3505951985,8.680513691e-08
15,31,2.5,0.3658841528,9.113613871e-08
15,31,2.5,0.3818396997,9.567668685e-08
15,31,2.5,0.3984908903,1.00436912e-07
15,31,2.5,0.4158680406,1.054308015e-07
15,31,2.5,0.4340027865,1.106659216e-07
15,31,2.5,0.4529281415,1.161537581e-07
15,31,2.5,0.4726785561,1.219065578e-07
15,31,2.5,0.4932899804,1.279410125e-07
15,31,2.5,0.5147999294,1.342663554e-07
15,31,2.5,0.537247551,1.408964243e-07
15,31,2.5,0.5606736964,1.4784602e-07
15,31,2.5,0.5851209948,1.551350698e-07
15,31,2.5,0.6106339298,1.627748253e-07
15,31,2.5,0.6372589206,1.707819544e-07
15,31,2.5,0.6650444055,1.791743398e-07
15,31,2.5,0.6940409296,1.879757783e-07
15,31,2.5,0.7243012363,1.971999638e-07
15,31,2.5,0.7558803624,2.068669685e-07
15,31,2.5,0.7888357377,2.169983918e-07
15,31,2.5,0.8232272887,2.276226558e-07
15,31,2.5,0.8591175463,2.387564078e-07
15,31,2.5,0.8965717596,2.504238129e-07
15,31,2.5,0.9356580123,2.626509497e-07
15,31,2.5,0.9764473465,2.754717649e-07
15,31,2.5,1.01901389,2.889064751e-07
15,31,2.5,1.06343499,3.029841617e-07
15,31,2.5,1.109791353,3.17736298e-07
15,31,2.5,1.158167188,3.332034218e-07
15,31,2.5,1.20865036,3.494100597e-07
15,31,2.5,1.261332547,3.663911934e-07
15,31,2.5,1.316309403,3.841847849e-07
15,31,2.5,1.373680734,4.028392245e-07
15,31,2.5,1.433550672,4.223842382e-07
15,31,2.5,1.496027864,4.428618795e-07
15,31,2.5,1.561225666,4.643179031e-07
15,31,2.5,1.629262347,4.868100352e-07
15,31,2.5,1.700261297,5.103742672e-07
15,31,2.5,1.774351252,5.350611131e-07
15,31,2.5,1.851666521,5.609256673e-07
15,31,2.5,1.932347224,5.880367239e-07
15,31,2.5,2.016539544,6.164378134e-07
15,31,2.5,2.104395987,6.461895481e-07
15,31,2.5,2.196075651,6.773581836e-07
15,31,2.5,2.291744511,7.100255857e-07
15,31,2.5,2.39157571,7.442443408e-07
15,31,2.5,2.495749869,7.800870747e-07
15,31,2.5,2.604455404,8.176333304e-07
15,31,2.5,2.71788886,8.569803321e-07
15,31,2.5,2.836255256,8.981915176e-07
15,31,2.5,2.959768451,9.413537453e-07
15,31,2.5,3.088651511,9.865622928e-07
15,31,2.5,3.22313711,1.033932302e-06
15,31,2.5,3.363467932,1.083540178e-06
15,31,2.5,3.509897099,1.135489541e-06
15,31,2.5,3.66268861,1.18989417e-06
15,31,2.5,3.822117804,1.246889912e-06
15,31,2.5,3.988471837,1.306568604e-06
15,31,2.5,4.162050182,1.36905346e-06
15,31,2.5,4.343165148,1.434479802e-06
15,31,2.5,4.532142418,1.503007086e-06
15,31,2.5,4.729321614,1.574745431e-06
15,31,2.5,4.935056879,1.649840718e-06
15,31,2.5,5.149717485,1.728453018e-06
15,31,2.5,5.373688465,1.81076822e-06
