Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
21,45,2.5,0.1872478286,3.975665413e-08
21,45,2.5,0.1954141857,4.178261768e-08
21,45,2.5,0.2039366596,4.390764298e-08
21,45,2.5,0.2128307761,4.613646767e-08
21,45,2.5,0.2221127379,4.847407371e-08
21,45,2.5,0.2317994536,5.09276625e-08
21,45,2.5,0.2419085686,5.350080568e-08
21,45,2.5,0.2524584972,5.619921414e-08
21,45,2.5,0.2634684559,5.902891569e-08
21,45,2.5,0.2749584987,6.19984852e-08
21,45,2.5,0.286949553,6.511230857e-08
21,45,2.5,0.299463458,6.837726919e-08
21,45,2.5,0.3125230043,7.180065818e-08
21,45,2.5,0.3261519752,7.539269427e-08
21,45,2.5,0.3403751901,7.915875118e-08
21,45,2.5,0.3552185491,8.310712446e-08
21,45,2.5,0.3707090805,8.724663099e-08
21,45,2.5,0.3868749897,9.158945705e-08
21,45,2.5,0.4037457101,9.614217381e-08
21,45,2.5,0.4213519571,1.009147774e-07
21,45,2.5,0.439725783,1.059179271e-07
21,45,2.5,0.4589006359,1.111661638e-07
21,45,2.5,0.4789114198,1.166675096e-07
21,45,2.5,0.4997945582,1.224340079e-07
21,45,2.5,0.5215880597,1.28478542e-07
21,45,2.5,0.5443315873,1.348184705e-07
21,45,2.5,0.56806653,1.414635721e-07
21,45,2.5,0.5928360777,1.484283547e-07
21,45,2.5,0.6186852994,1.557283851e-07
21,45,2.5,0.6456612249,1.633843927e-07
21,45,2.5,0.6738129297,1.714082821e-07
21,45,2.5,0.7031916235,1.79817526e-07
21,45,2.5,0.7338507434,1.886309286e-07
21,45,2.5,0.7658460499,1.978732496e-07
21,45,2.5,0.7992357277,2.07558965e-07
21,45,2.5,0.834080491,2.177091127e-07
21,45,2.5,0.8704436929,2.283464001e-07
21,45,2.5,0.9083914395,2.395004025e-07
21,45,2.5,0.9479927093,2.511887042e-07
21,45,2.5,0.9893194776,2.634366278e-07
21,45,2.5,1.032446846,2.762715827e-07
21,45,2.5,1.077453177,2.897288934e-07
21,45,2.5,1.124420237,3.038298987e-07
21,45,2.5,1.17343334,3.186050657e-07
21,45,2.5,1.224581505,3.340874633e-07
21,45,2.5,1.277957611,3.503192703e-07
21,45,2.5,1.33365857,3.673263568e-07
21,45,2.5,1.391785495,3.851453602e-07
21,45,2.5,1.452443883,4.038161513e-07
21,45,2.5,1.515743805,4.233890673e-07
21,45,2.5,1.581800105,4.43895441e-07
21,45,2.5,1.650732598,4.653792989e-07
21,45,2.5,1.722666294,4.878886725e-07
21,45,2.5,1.797731612,5.114835856e-07
21,45,2.5,1.876064618,5.362019491e-07
21,45,2.5,1.957807268,5.620966189e-07
21,45,2.5,2.043107656,5.892253939e-07
21,45,2.5,2.132120282,6.176597614e-07
21,45,2.5,2.225006324,6.474455398e-07
21,45,2.5,2.321933925,6.786461077e-07
21,45,2.5,2.42307849,7.113309146e-07
21,45,2.5,2.528622997,7.45584954e-07
21,45,2.5,2.638758321,7.814635309e-07
21,45,2.5,2.753683571,8.190425175e-07
21,45,2.5,2.873606439,8.584051974e-07
21,45,2.5,2.998743568,8.996523817e-07
21,45,2.5,3.129320932,9.428507258e-07
21,45,2.5,3.265574232,9.880908619e-07
21,45,2.5,3.407749309,1.0354724e-06
21,45,2.5,3.556102575,1.085114524e-06
21,45,2.5,3.71090146,1.137097424e-06
21,45,2.5,3.872424876,1.191529054e-06
21,45,2.5,4.040963707,1.248528131e-06
21,45,2.5,4.216821308,1.308234938e-06
21,45,2.5,4.400314033,1.370745738e-06
21,45,2.5,4.591771783,1.436188631e-06
21,45,2.5,4.791538571,1.50470444e-06
21,45,2.5,4.999973118,1.57645731e-06
21,45,2.5,5.217449464,1.651562481e-06
21,45,2.5,5.444357611,1.730171205e-06
21,45,2.5,5.681104183,1.812449479e-06
21,45,2.5,5.928113127,1.89858785e-06
21,45,2.5,6.185826421,1.98872382e-06
21,45,2.5,6.45470483,2.083034815e-06
21,45,2.5,6.735228674,2.18171487e-06
21,45,2.5,7.027898642,2.284982851e-06
21,45,2.5,7.333236624,2.393002151e-06
21,45,2.5,7.651786585,2.505979135e-06
21,45,2.5,7.984115461,2.62413809e-06
21,45,2.5,8.330814105,2.747726874e-06
21,45,2.5,8.692498252,2.876938688e-06
21,45,2.5,9.069809531,3.01201091e-06
21,45,2.5,9.463416512,3.153198943e-06
21,45,2.5,9.874015789,3.300778179e-06
21,45,2.5,10.3023331,3.454975724e-06
21,45,2.5,10.74912452,3.616060723e-06
21,45,2.5,11.21517761,3.78431821e-06
21,45,2.5,11.70131273,3.960046297e-06
21,45,2.5,12.2083843,4.143510138e-06
21,45,2.5,12.73728215,4.335009218e-06
21,45,2.5,13.28893288,4.534852966e-06
21,45,2.5,13.86430135,4.743352514e-06
21,45,2.5,14.46439211,4.960815065e-06
21,45,2.5,15.09025092,5.187565737e-06
21,45,2.5,15.74296641,5.42392758e-06
21,45,2.5,16.42367162,5.670208296e-06
21,45,2.5,17.13354573,5.926760851e-06
21,45,2.5,17.87381581,6.193926698e-06
21,45,2.5,18.64575857,6.472024005e-06
21,45,2.5,19.45070222,6.76133185e-06
21,45,2.5,20.29002839,7.062252284e-06
21,45,2.5,21.16517405,7.375127797e-06
21,45,2.5,22.07763354,7.700242997e-06
21,45,2.5,23.02896064,8.037812496e-06
21,45,2.5,24.02077066,8.388290416e-06
21,45,2.5,25.05474264,8.751997659e-06
21,45,2.5,26.13262159,9.129143976e-06
21,45,2.5,27.25622073,9.519831616e-06
21,45,2.5,28.42742389,9.924569733e-06
21,45,2.5,29.64818785,1.03436267e-05
21,45,2.5,30.92054482,1.077708146e-05
21,45,2.5,32.24660492,1.122486357e-05
21,45,2.5,33.62855873,1.168754074e-05
21,45,2.5,35.06867989,1.216528931e-05
21,45,2.5,36.56932772,1.265798562e-05
21,45,2.5,38.13294994,1.316531493e-05
21,45,2.5,39.76208534,1.368790854e-05
21,45,2.5,41.4593666,1.422580322e-05
21,45,2.5,43.22752304,1.477858544e-05
21,45,2.5,45.06938348,1.534561615e-05
21,45,2.5,46.98787907,1.592759772e-05
21,45,2.5,48.98604618,1.652437369e-05
21,45,2.5,51.06702929,1.713513954e-05
21,45,2.5,53.2340839,1.775884825e-05
21,45,2.5,55.49057944,1.839628401e-05
21,45,2.5,57.8400022,1.904703971e-05
21,45,2.5,60.28595822,1.970980857e-05
21,45,2.5,62.83217621,2.038305437e-05
21,45,2.5,65.48251043,2.106765771e-05
21,45,2.5,68.24094353,2.17629038e-05
21,45,2.5,71.11158939,2.246686844e-05
21,45,2.5,74.09869592,2.317745652e-05
21,45,2.5,77.20664776,2.389566582e-05
21,45,2.5,80.43996899,2.462042477e-05
21,45,2.5,83.8033257,2.534908568e-05
21,45,2.5,87.30152861,2.607895374e-05
21,45,2.5,90.93953543,2.681118029e-05
21,45,2.5,94.72245331,2.754431634e-05
21,45,2.5,98.65554106,2.827492809e-05
21,45,2.5,102.7442113,2.899974856e-05
21,45,2.5,106.9940326,2.972015047e-05
21,45,2.5,111.4107312,3.043433715e-05
21,45,2.5,116.0001931,3.113809113e-05
21,45,2.5,120.7684653,3.182766343e-05
21,45,2.5,125.7217577,3.250470939e-05
21,45,2.5,130.8664442,3.316714397e-05
21,45,2.5,136.2090642,3.381003269e-05
21,45,2.5,141.756323,3.442930961e-05
21,45,2.5,147.5150936,3.502699098e-05
21,45,2.5,153.4924165,3.560082735e-05
21,45,2.5,159.6955009,3.614533744e-05
21,45,2.5,166.1317247,3.665638811e-05
21,45,2.5,172.8086348,3.713642745e-05
21,45,2.5,179.7339473,3.758318389e-05
21,45,2.5,186.9155474,3.799081402e-05
21,45,2.5,194.3614886,3.83552834e-05
