Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
26,55.90993,2.5,0.1859729305,1.535686523e-06
26,55.90993,2.5,0.1940836917,1.613957155e-06
26,55.90993,2.5,0.2025481457,1.696055298e-06
26,55.90993,2.5,0.2113817128,1.782164006e-06
26,55.90993,2.5,0.2206004855,1.872475773e-06
26,55.90993,2.5,0.2302212572,1.967268901e-06
26,55.90993,2.5,0.2402615534,2.066681333e-06
26,55.90993,2.5,0.250739663,2.170933723e-06
26,55.90993,2.5,0.261674672,2.280258969e-06
26,55.90993,2.5,0.2730864978,2.394988423e-06
26,55.90993,2.5,0.2849959255,2.515291484e-06
26,55.90993,2.5,0.2974246459,2.641434094e-06
26,55.90993,2.5,0.3103952944,2.773697946e-06
26,55.90993,2.5,0.3239314927,2.912477873e-06
26,55.90993,2.5,0.3380578913,3.057981428e-06
26,55.90993,2.5,0.3528002143,3.210529088e-06
26,55.90993,2.5,0.3681853062,3.370461464e-06
26,55.90993,2.5,0.3842411805,3.538249341e-06
26,55.90993,2.5,0.4009970708,3.714146515e-06
26,55.90993,2.5,0.4184834833,3.89853912e-06
26,55.90993,2.5,0.4367322528,4.091838884e-06
26,55.90993,2.5,0.4557765998,4.294607437e-06
26,55.90993,2.5,0.4756511911,4.507154597e-06
26,55.90993,2.5,0.4963922027,4.729945509e-06
26,55.90993,2.5,0.5180373849,4.963477705e-06
26,55.90993,2.5,0.5406261313,5.208421439e-06
26,55.90993,2.5,0.5641995496,5.465154347e-06
26,55.90993,2.5,0.5888005363,5.73423661e-06
26,55.90993,2.5,0.6144738543,6.01626924e-06
26,55.90993,2.5,0.6412662139,6.312052285e-06
26,55.90993,2.5,0.6692263573,6.622045429e-06
26,55.90993,2.5,0.6984051465,6.9469231e-06
26,55.90993,2.5,0.7288556558,7.287411013e-06
26,55.90993,2.5,0.760633267,7.644464173e-06
26,55.90993,2.5,0.7937957701,8.01864146e-06
26,55.90993,2.5,0.828403467,8.410754529e-06
26,55.90993,2.5,0.8645192809,8.821679233e-06
26,55.90993,2.5,0.9022088694,9.252555356e-06
26,55.90993,2.5,0.9415407431,9.704061607e-06
26,55.90993,2.5,0.982586389,1.017717429e-05
26,55.90993,2.5,1.025420399,1.067294979e-05
26,55.90993,2.5,1.070120605,1.119274787e-05
26,55.90993,2.5,1.116768219,1.173739183e-05
26,55.90993,2.5,1.165447976,1.230805526e-05
26,55.90993,2.5,1.216248292,1.290601126e-05
26,55.90993,2.5,1.269261418,1.353288082e-05
26,55.90993,2.5,1.324583608,1.41896616e-05
26,55.90993,2.5,1.38231529,1.487776303e-05
26,55.90993,2.5,1.442561247,1.559871777e-05
26,55.90993,2.5,1.505430807,1.635445611e-05
26,55.90993,2.5,1.571038033,1.714618552e-05
26,55.90993,2.5,1.639501933,1.797559674e-05
26,55.90993,2.5,1.710946669,1.884453229e-05
26,55.90993,2.5,1.785501779,1.975528704e-05
26,55.90993,2.5,1.86330241,2.070932054e-05
26,55.90993,2.5,1.944489558,2.170865781e-05
26,55.90993,2.5,2.029210316,2.275550969e-05
26,55.90993,2.5,2.117618142,2.385259829e-05
26,55.90993,2.5,2.209873125,2.500168524e-05
26,55.90993,2.5,2.306142274,2.620519091e-05
26,55.90993,2.5,2.40659981,2.746576135e-05
