Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
14,28.14,2.5,0.2127871256,2.873636377e-06
14,28.14,2.5,0.2220671841,3.019661434e-06
14,28.14,2.5,0.2317519135,3.172816137e-06
14,28.14,2.5,0.2418589557,3.333441279e-06
14,28.14,2.5,0.2524067211,3.501895206e-06
14,28.14,2.5,0.2634144223,3.678694427e-06
14,28.14,2.5,0.2749021092,3.864097284e-06
14,28.14,2.5,0.286890705,4.058514536e-06
14,28.14,2.5,0.2994020443,4.262379692e-06
14,28.14,2.5,0.3124589131,4.476307909e-06
14,28.14,2.5,0.3260850899,4.700616128e-06
14,28.14,2.5,0.3403053888,4.935799369e-06
14,28.14,2.5,0.3551457049,5.1823819e-06
14,28.14,2.5,0.3706330607,5.441096888e-06
14,28.14,2.5,0.386795656,5.712332333e-06
14,28.14,2.5,0.4036629181,5.99668469e-06
14,28.14,2.5,0.4212655561,6.294787787e-06
14,28.14,2.5,0.4396356158,6.60751593e-06
14,28.14,2.5,0.4588065385,6.935343218e-06
14,28.14,2.5,0.478813221,7.278988182e-06
14,28.14,2.5,0.4996920792,7.639216838e-06
14,28.14,2.5,0.5214811142,8.017072228e-06
14,28.14,2.5,0.5442199808,8.413132706e-06
14,28.14,2.5,0.5679500596,8.828263638e-06
14,28.14,2.5,0.5927145315,9.263390451e-06
14,28.14,2.5,0.6185584564,9.719757784e-06
14,28.14,2.5,0.6455288545,1.019807015e-05
14,28.14,2.5,0.6736747912,1.069936941e-05
14,28.14,2.5,0.7030474659,1.122477309e-05
14,28.14,2.5,0.7337003047,1.177576648e-05
14,28.14,2.5,0.7656890566,1.235320662e-05
14,28.14,2.5,0.7990718947,1.295834736e-05
14,28.14,2.5,0.8339095207,1.35925375e-05
14,28.14,2.5,0.8702652746,1.425754918e-05
14,28.14,2.5,0.9082052492,1.495442374e-05
14,28.14,2.5,0.947798409,1.568466935e-05
14,28.14,2.5,0.9891167145,1.644991284e-05
14,28.14,2.5,1.032235252,1.725226771e-05
14,28.14,2.5,1.077232368,1.809299776e-05
14,28.14,2.5,1.124189812,1.897391576e-05
14,28.14,2.5,1.173192882,1.989698224e-05
14,28.14,2.5,1.224330577,2.086471589e-05
14,28.14,2.5,1.277695759,2.187864867e-05
14,28.14,2.5,1.333385319,2.294095747e-05
14,28.14,2.5,1.391500348,2.40540023e-05
14,28.14,2.5,1.452146325,2.522078122e-05
14,28.14,2.5,1.515433297,2.644314895e-05
14,28.14,2.5,1.581476084,2.772371641e-05
14,28.14,2.5,1.650394478,2.906532023e-05
14,28.14,2.5,1.722313462,3.0471523e-05
14,28.14,2.5,1.79736343,3.194456711e-05
14,28.14,2.5,1.87568042,3.348757888e-05
14,28.14,2.5,1.957406359,3.510396108e-05
14,28.14,2.5,2.042689312,3.679793671e-05
14,28.14,2.5,2.131683747,3.857221276e-05
14,28.14,2.5,2.224550809,4.043052436e-05
14,28.14,2.5,2.321458608,4.237694249e-05
14,28.14,2.5,2.422582512,4.441645603e-05
14,28.14,2.5,2.528105465,4.655232672e-05
14,28.14,2.5,2.638218301,4.878900398e-05
14,28.14,2.5,2.753120089,5.11313405e-05
14,28.14,2.5,2.873018481,5.358520239e-05
14,28.14,2.5,2.998130074,5.615451108e-05
14,28.14,2.5,3.128680799,5.884454584e-05
14,28.14,2.5,3.264906308,6.166106283e-05
14,28.14,2.5,3.407052394,6.461091545e-05
14,28.14,2.5,3.555375417,6.769880511e-05
14,28.14,2.5,3.710142754,7.093096251e-05
14,28.14,2.5,3.871633261,7.431417007e-05
14,28.14,2.5,4.040137762,7.785636437e-05
14,28.14,2.5,4.215959554,8.156316235e-05
14,28.14,2.5,4.399414928,8.544186537e-05
14,28.14,2.5,4.590833718,8.950039275e-05
14,28.14,2.5,4.790559871,9.374782459e-05
14,28.14,2.5,4.998952034,9.819084245e-05
14,28.14,2.5,5.216384174,0.0001028379208
14,28.14,2.5,5.443246215,0.0001076981921
14,28.14,2.5,5.679944704,0.000112781871
14,28.14,2.5,5.926903501,0.0001180968627
14,28.14,2.5,6.184564499,0.0001236528772
14,28.14,2.5,6.453388371,0.0001294602659
14,28.14,2.5,6.733855345,0.0001355302504
14,28.14,2.5,7.02646601,0.0001418721212
14,28.14,2.5,7.331742156,0.0001484968117
14,28.14,2.5,7.650227639,0.0001554157742
14,28.14,2.5,7.982489289,0.0001626409195
14,28.14,2.5,8.329117841,0.000170183079
14,28.14,2.5,8.690728913,0.000178054273
14,28.14,2.5,9.06796401,0.000186266737
14,28.14,2.5,9.461491573,0.0001948324684
14,28.14,2.5,9.872008062,0.0002037639782
14,28.14,2.5,10.30023908,0.0002130740478
14,28.14,2.5,10.74694055,0.0002227750772
14,28.14,2.5,11.21289989,0.0002328781471
14,28.14,2.5,11.6989373,0.0002433975599
14,28.14,2.5,12.20590705,0.0002543462651
14,28.14,2.5,12.73469878,0.0002657357838
14,28.14,2.5,13.28623894,0.0002775747475
14,28.14,2.5,13.8614922,0.0002898793335
14,28.14,2.5,14.46146291,0.0003026617178
14,28.14,2.5,15.08719667,0.0003159309392
14,28.14,2.5,15.73978188,0.0003296910024
14,28.14,2.5,16.42035139,0.0003439600306
14,28.14,2.5,17.13008416,0.0003587480692
14,28.14,2.5,17.87020702,0.0003740593934
14,28.14,2.5,18.64199647,0.000389890494
14,28.14,2.5,19.44678048,0.0004062615465
14,28.14,2.5,20.28594042,0.0004231786752
14,28.14,2.5,21.16091303,0.0004406383732
14,28.14,2.5,22.07319237,0.0004586260718
14,28.14,2.5,23.02433194,0.0004771642366
14,28.14,2.5,24.01594679,0.0004962529152
14,28.14,2.5,25.04971566,0.0005158771337
14,28.14,2.5,26.12738326,0.0005360072996
14,28.14,2.5,27.2507625,0.0005566686877
14,28.14,2.5,28.4217369,0.00057785296
14,28.14,2.5,29.64226291,0.0005995295947
14,28.14,2.5,30.91437241,0.0006216500913
14,28.14,2.5,32.24017517,0.000644243535
14,28.14,2.5,33.62186141,0.0006672911231
14,28.14,2.5,35.06170442,0.0006907428475
14,28.14,2.5,36.56206313,0.0007145282789
14,28.14,2.5,38.12538488,0.0007386820032
14,28.14,2.5,39.75420808,0.0007631734496
14,28.14,2.5,41.45116499,0.0007879301337
14,28.14,2.5,43.21898453,0.0008128585287
14,28.14,2.5,45.06049509,0.0008380012127
14,28.14,2.5,46.9786274,0.0008633159256
14,28.14,2.5,48.97641739,0.0008887066099
14,28.14,2.5,51.05700909,0.0009140582701
14,28.14,2.5,53.22365754,0.0009394246233
14,28.14,2.5,55.47973171,0.0009647536157
14,28.14,2.5,57.82871743,0.0009899271758
14,28.14,2.5,60.27422026,0.001014813705
14,28.14,2.5,62.81996841,0.001039481248
14,28.14,2.5,65.46981567,0.001063871566
14,28.14,2.5,68.22774419,0.001087848865
14,28.14,2.5,71.09786736,0.001111272444
14,28.14,2.5,74.08443256,0.0011342268
14,28.14,2.5,77.19182395,0.001156652011
14,28.14,2.5,80.42456509,0.001178400746
14,28.14,2.5,83.78732158,0.001199331808
14,28.14,2.5,87.28490361,0.001219546245
14,28.14,2.5,90.9222684,0.001238986895
14,28.14,2.5,94.70452258,0.001257502027
14,28.14,2.5,98.63692446,0.001274958454
14,28.14,2.5,102.7248862,0.001291471952
14,28.14,2.5,106.9739758,0.001306992175
14,28.14,2.5,111.3899191,0.001321370617
14,28.14,2.5,115.9786014,0.001334489796
14,28.14,2.5,120.7460696,0.001346476901
14,28.14,2.5,125.6985329,0.001357291968
14,28.14,2.5,130.8423648,0.001366797642
14,28.14,2.5,136.1841043,0.001374898999
14,28.14,2.5,141.7304563,0.001381730765
14,28.14,2.5,147.4882932,0.001387266752
14,28.14,2.5,153.4646554,0.00139138902
14,28.14,2.5,159.6667516,0.001394031164
14,28.14,2.5,166.1019593,0.001395331433
14,28.14,2.5,172.7778253,0.001395280798
14,28.14,2.5,179.7020652,0.001393789497
14,28.14,2.5,186.8825639,0.001390824526
14,28.14,2.5,194.3273749,0.001386523199
14,28.14,2.5,202.04472,0.001380895858
14,28.14,2.5,210.0429891,0.001373887453
14,28.14,2.5,218.3307389,0.001365498646
14,28.14,2.5,226.9166928,0.001355857217
14,28.14,2.5,235.8097395,0.001344988065
14,28.14,2.5,245.0189324,0.001332868654
14,28.14,2.5,254.5534886,0.001319524872
14,28.14,2.5,264.4227873,0.001305066489
14,28.14,2.5,274.6363696,0.00128953144
14,28.14,2.5,285.2039367,0.001272931261
14,28.14,2.5,296.1353488,0.001255315395
14,28.14,2.5,307.4406247,0.001236777485
14,28.14,2.5,319.12994,0.001217367945
14,28.14,2.5,331.2136268,0.001197134126
14,28.14,2.5,343.7021724,0.001176145848
14,28.14,2.5,356.6062192,0.001154466636
14,28.14,2.5,369.9365635,0.001132149216
14,28.14,2.5,383.7041555,0.001109272243
14,28.14,2.5,397.920099,0.001085914454
14,28.14,2.5,412.5956518,0.001062124223
14,28.14,2.5,427.7422254,0.001037967342
14,28.14,2.5,443.3713859,0.001013537725
14,28.14,2.5,459.4948547,0.0009889151736
14,28.14,2.5,476.1245097,0.0009641166328
14,28.14,2.5,493.2723865,0.0009391823339
14,28.14,2.5,510.9506805,0.0009142253578
14,28.14,2.5,529.1717485,0.0008893275489
14,28.14,2.5,547.9481113,0.0008644669503
14,28.14,2.5,567.2924568,0.0008397012538
14,28.14,2.5,587.2176425,0.0008151533436
14,28.14,2.5,607.7366995,0.0007908397557
14,28.14,2.5,628.8628359,0.0007667287492
14,28.14,2.5,650.6094415,0.0007428663522
14,28.14,2.5,672.9900921,0.0007193154033
14,28.14,2.5,696.0185545,0.000696100674
14,28.14,2.5,719.7087919,0.0006731807036
14,28.14,2.5,744.0749695,0.0006505428794
14,28.14,2.5,769.1314607,0.0006283159445
14,28.14,2.5,794.8928534,0.000606566845
14,28.14,2.5,821.3739565,0.0005851596035
14,28.14,2.5,848.5898076,0.0005640995788
14,28.14,2.5,876.5556799,0.0005435539296
14,28.14,2.5,905.2870901,0.0005234873956
14,28.14,2.5,934.7998062,0.0005038102649
14,28.14,2.5,965.1098565,0.0004846019063
14,28.14,2.5,996.2335373,0.0004659242189
14,28.14,2.5,1028.187423,0.0004477339892
14,28.14,2.5,1060.988373,0.000430048015
14,28.14,2.5,1094.653544,0.0004128583491
14,28.14,2.5,1129.200398,0.0003961643815
14,28.14,2.5,1164.646714,0.0003800471701
14,28.14,2.5,1201.010593,0.0003644635155
14,28.14,2.5,1238.310475,0.0003493035451
14,28.14,2.5,1276.565147,0.0003346835144
14,28.14,2.5,1315.79375,0.0003206901188
14,28.14,2.5,1356.015799,0.000307138186
14,28.14,2.5,1397.251182,0.000293989937
14,28.14,2.5,1439.520184,0.0002814521504
14,28.14,2.5,1482.843488,0.0002694485495
14,28.14,2.5,1527.242193,0.0002577891447
14,28.14,2.5,1572.737826,0.0002465642735
14,28.14,2.5,1619.35235,0.0002359004865
14,28.14,2.5,1667.108179,0.0002256127574
14,28.14,2.5,1716.02819,0.0002156567042
14,28.14,2.5,1766.135737,0.0002061746113
14,28.14,2.5,1817.454661,0.0001971345631
14,28.14,2.5,1870.009305,0.0001883731548
14,28.14,2.5,1923.824528,0.0001800148185
14,28.14,2.5,1978.925715,0.0001721161804
14,28.14,2.5,2035.338794,0.0001644992877
14,28.14,2.5,2093.090248,0.0001571400934
14,28.14,2.5,2152.20713,0.0001501635906
14,28.14,2.5,2212.717077,0.000143492025
14,28.14,2.5,2274.648321,0.0001370090402
14,28.14,2.5,2338.02971,0.0001308138578
14,28.14,2.5,2402.890717,0.0001249647438
14,28.14,2.5,2469.261459,0.0001193111739
14,28.14,2.5,2537.17271,0.0001138134773
14,28.14,2.5,2606.655916,0.0001086362179
14,28.14,2.5,2677.743214,0.000103734137
14,28.14,2.5,2750.467444,9.894098109e-05
14,28.14,2.5,2824.862167,9.430577572e-05
14,28.14,2.5,2900.961685,8.99681441e-05
14,28.14,2.5,2978.801049,8.582903529e-05
14,28.14,2.5,3058.416088,8.175679502e-05
14,28.14,2.5,3139.843414,7.786990191e-05
14,28.14,2.5,3223.120451,7.425803294e-05
14,28.14,2.5,3308.285445,7.077777006e-05
14,28.14,2.5,3395.377486,6.733795072e-05
14,28.14,2.5,3484.436525,6.409693749e-05
14,28.14,2.5,3575.503396,6.111126591e-05
14,28.14,2.5,3668.619833,5.820993735e-05
14,28.14,2.5,3763.828489,5.534253015e-05
14,28.14,2.5,3861.17296,5.266107215e-05
14,28.14,2.5,3960.697799,5.018102278e-05
14,28.14,2.5,4062.448546,4.775765518e-05
14,28.14,2.5,4166.47174,4.537105168e-05
14,28.14,2.5,4272.814949,4.315960963e-05
14,28.14,2.5,4381.526787,4.110885937e-05
14,28.14,2.5,4492.656937,3.909159602e-05
14,28.14,2.5,4606.256177,3.710547549e-05
14,28.14,2.5,4722.376401,3.528151253e-05
14,28.14,2.5,4841.070646,3.358971078e-05
14,28.14,2.5,4962.393112,3.191523942e-05
14,28.14,2.5,5086.399192,3.026283543e-05
14,28.14,2.5,5213.145494,2.875876415e-05
14,28.14,2.5,5342.68987,2.736914378e-05
14,28.14,2.5,5475.09144,2.598805034e-05
14,28.14,2.5,5610.410622,2.46188137e-05
14,28.14,2.5,5748.709158,2.33804303e-05
14,28.14,2.5,5890.050142,2.22442457e-05
14,28.14,2.5,6034.498051,2.111344341e-05
14,28.14,2.5,6182.118773,1.998511851e-05
14,28.14,2.5,6332.979638,1.896609151e-05
14,28.14,2.5,6487.149449,1.803911669e-05
14,28.14,2.5,6644.698513,1.711847802e-05
14,28.14,2.5,6805.698675,1.619343257e-05
14,28.14,2.5,6970.223346,1.535437446e-05
14,28.14,2.5,7138.347544,1.459826623e-05
14,28.14,2.5,7310.147922,1.385218389e-05
14,28.14,2.5,7485.702807,1.3097926e-05
14,28.14,2.5,7665.092234,1.240675387e-05
14,28.14,2.5,7848.397983,1.178992099e-05
14,28.14,2.5,8035.703616,1.11882796e-05
14,28.14,2.5,8227.094517,1.05776136e-05
14,28.14,2.5,8422.657928,1.000843987e-05
14,28.14,2.5,8622.482992,9.504389064e-06
14,28.14,2.5,8826.660792,9.020869765e-06
14,28.14,2.5,9035.284392,8.529835242e-06
14,28.14,2.5,9248.448881,8.061337142e-06
14,28.14,2.5,9466.251416,7.648170432e-06
14,28.14,2.5,9688.791266,7.260252512e-06
14,28.14,2.5,9916.169858,6.867868654e-06
