Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
20,40.11563,2.5,0.213707123,2.57153765e-07
20,40.11563,2.5,0.2230272994,2.702196404e-07
20,40.11563,2.5,0.2327538957,2.839234128e-07
20,40.11563,2.5,0.24290463,2.982955731e-07
20,40.11563,2.5,0.2534979921,3.13368183e-07
20,40.11563,2.5,0.2645532778,3.291874499e-07
20,40.11563,2.5,0.2760906235,3.457764947e-07
20,40.11563,2.5,0.2881310426,3.631720695e-07
20,40.11563,2.5,0.3006964642,3.814129625e-07
20,40.11563,2.5,0.3138097727,4.005542103e-07
20,40.11563,2.5,0.3274948491,4.206241782e-07
20,40.11563,2.5,0.3417766149,4.416671598e-07
20,40.11563,2.5,0.3566810768,4.637300668e-07
20,40.11563,2.5,0.3722353741,4.868785013e-07
20,40.11563,2.5,0.3884678282,5.111471882e-07
20,40.11563,2.5,0.4054079936,5.365895022e-07
20,40.11563,2.5,0.4230867118,5.632621635e-07
20,40.11563,2.5,0.4415361671,5.912434159e-07
20,40.11563,2.5,0.4607899449,6.20575691e-07
20,40.11563,2.5,0.4808830927,6.513232957e-07
20,40.11563,2.5,0.5018521836,6.835547892e-07
20,40.11563,2.5,0.5237353826,7.173635373e-07
20,40.11563,2.5,0.5465725157,7.528013056e-07
20,40.11563,2.5,0.5704051417,7.899455562e-07
20,40.11563,2.5,0.595276628,8.288791327e-07
20,40.11563,2.5,0.621232229,8.697134834e-07
20,40.11563,2.5,0.6483191673,9.125116708e-07
20,40.11563,2.5,0.6765867201,9.573669805e-07
20,40.11563,2.5,0.7060863075,1.004379482e-06
20,40.11563,2.5,0.7368715858,1.053682234e-06
20,40.11563,2.5,0.7689985446,1.105351961e-06
20,40.11563,2.5,0.8025256074,1.159500973e-06
20,40.11563,2.5,0.8375137375,1.216250097e-06
20,40.11563,2.5,0.874026548,1.275758192e-06
20,40.11563,2.5,0.9121304162,1.338118503e-06
20,40.11563,2.5,0.9518946037,1.403466184e-06
20,40.11563,2.5,0.993391381,1.471947059e-06
20,40.11563,2.5,1.036696157,1.543750755e-06
20,40.11563,2.5,1.081887617,1.618990467e-06
20,40.11563,2.5,1.129047862,1.697828762e-06
20,40.11563,2.5,1.178262555,1.780441519e-06
20,40.11563,2.5,1.229621079,1.867055003e-06
20,40.11563,2.5,1.283216697,1.957806477e-06
20,40.11563,2.5,1.339146714,2.052891352e-06
20,40.11563,2.5,1.397512659,2.152521592e-06
20,40.11563,2.5,1.458420461,2.25696698e-06
20,40.11563,2.5,1.521980642,2.366393788e-06
20,40.11563,2.5,1.588308513,2.4810367e-06
20,40.11563,2.5,1.657524383,2.6011509e-06
20,40.11563,2.5,1.72975377,2.727057709e-06
20,40.11563,2.5,1.805127628,2.858958305e-06
20,40.11563,2.5,1.88378258,2.997134216e-06
20,40.11563,2.5,1.965861159,3.14189223e-06
20,40.11563,2.5,2.051512067,3.293614439e-06
20,40.11563,2.5,2.140890433,3.452543952e-06
20,40.11563,2.5,2.234158093,3.619017965e-06
20,40.11563,2.5,2.331483877,3.793404624e-06
20,40.11563,2.5,2.433043903,3.976157271e-06
20,40.11563,2.5,2.539021898,4.167569246e-06
20,40.11563,2.5,2.649609513,4.368043602e-06
20,40.11563,2.5,2.765006667,4.578021011e-06
20,40.11563,2.5,2.885421899,4.798037683e-06
20,40.11563,2.5,3.011072733,5.028446956e-06
20,40.11563,2.5,3.142186062,5.269729281e-06
20,40.11563,2.5,3.278998544,5.522410385e-06
20,40.11563,2.5,3.42175702,5.787121802e-06
20,40.11563,2.5,3.570718943,6.064288239e-06
20,40.11563,2.5,3.726152826,6.354480329e-06
20,40.11563,2.5,3.888338715,6.658322451e-06
20,40.11563,2.5,4.057568669,6.97655412e-06
20,40.11563,2.5,4.234147273,7.309684494e-06
20,40.11563,2.5,4.418392161,7.65838805e-06
20,40.11563,2.5,4.610634568,8.023401842e-06
20,40.11563,2.5,4.811219896,8.405585075e-06
20,40.11563,2.5,5.020508314,8.805546166e-06
20,40.11563,2.5,5.23887537,9.224077238e-06
20,40.11563,2.5,5.466712636,9.662041274e-06
20,40.11563,2.5,5.704428376,1.012042598e-05
20,40.11563,2.5,5.952448239,1.059995548e-05
20,40.11563,2.5,6.21121598,1.110155217e-05
20,40.11563,2.5,6.481194211,1.162621541e-05
20,40.11563,2.5,6.762865179,1.21750643e-05
20,40.11563,2.5,7.056731576,1.274895642e-05
20,40.11563,2.5,7.36331738,1.334895388e-05
20,40.11563,2.5,7.683168727,1.397619673e-05
20,40.11563,2.5,8.016854815,1.4631928e-05
20,40.11563,2.5,8.364968849,1.531715726e-05
20,40.11563,2.5,8.728129013,1.603308942e-05
20,40.11563,2.5,9.106979484,1.678099857e-05
20,40.11563,2.5,9.502191482,1.756222756e-05
20,40.11563,2.5,9.914464359,1.837795653e-05
20,40.11563,2.5,10.34452672,1.922952548e-05
20,40.11563,2.5,10.79313762,2.011831813e-05
20,40.11563,2.5,11.26108772,2.104572805e-05
20,40.11563,2.5,11.74920061,2.201312363e-05
20,40.11563,2.5,12.25833406,2.302195586e-05
20,40.11563,2.5,12.78938137,2.407366669e-05
20,40.11563,2.5,13.34327277,2.516961626e-05
20,40.11563,2.5,13.92097687,2.631137718e-05
20,40.11563,2.5,14.52350211,2.750046393e-05
20,40.11563,2.5,15.15189835,2.873828716e-05
20,40.11563,2.5,15.80725838,3.002604313e-05
20,40.11563,2.5,16.49071963,3.136552261e-05
20,40.11563,2.5,17.20346582,3.275822521e-05
20,40.11563,2.5,17.94672871,3.420539013e-05
20,40.11563,2.5,18.72178988,3.570786233e-05
20,40.11563,2.5,19.52998263,3.726766345e-05
20,40.11563,2.5,20.3726938,3.888616233e-05
20,40.11563,2.5,21.25136583,4.056422394e-05
20,40.11563,2.5,22.16749868,4.230209025e-05
20,40.11563,2.5,23.12265196,4.41020281e-05
20,40.11563,2.5,24.11844702,4.596511834e-05
20,40.11563,2.5,25.15656917,4.78915777e-05
20,40.11563,2.5,26.23876987,4.98807295e-05
20,40.11563,2.5,27.36686906,5.193510769e-05
20,40.11563,2.5,28.54275748,5.405530836e-05
20,40.11563,2.5,29.76839907,5.624055454e-05
20,40.11563,2.5,31.04583344,5.848888425e-05
20,40.11563,2.5,32.37717834,6.080313772e-05
20,40.11563,2.5,33.76463226,6.318320162e-05
20,40.11563,2.5,35.21047696,6.562690163e-05
20,40.11563,2.5,36.71708017,6.813060433e-05
20,40.11563,2.5,38.28689825,7.069752677e-05
20,40.11563,2.5,39.92247894,7.332661819e-05
20,40.11563,2.5,41.6264641,7.601387896e-05
20,40.11563,2.5,43.40159251,7.875365327e-05
20,40.11563,2.5,45.25070273,8.154965485e-05
20,40.11563,2.5,47.17673593,8.439970491e-05
20,40.11563,2.5,49.18273877,8.729758642e-05
20,40.11563,2.5,51.27186631,9.023538572e-05
