Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
24,52.05541,2.5,0.1827943541,1.680484636e-07
24,52.05541,2.5,0.1907665036,1.766168525e-07
24,52.05541,2.5,0.1990863026,1.85604328e-07
24,52.05541,2.5,0.2077689081,1.950309348e-07
24,52.05541,2.5,0.2168301376,2.049177515e-07
24,52.05541,2.5,0.2262864979,2.152952647e-07
24,52.05541,2.5,0.2361552151,2.26178568e-07
24,52.05541,2.5,0.2464542659,2.375918239e-07
24,52.05541,2.5,0.2572024103,2.495605355e-07
24,52.05541,2.5,0.2684192256,2.621210004e-07
24,52.05541,2.5,0.2801251421,2.752917563e-07
24,52.05541,2.5,0.2923414801,2.891019255e-07
24,52.05541,2.5,0.3050904889,3.035823558e-07
24,52.05541,2.5,0.3183953867,3.187762982e-07
24,52.05541,2.5,0.3322804032,3.347064684e-07
24,52.05541,2.5,0.3467708234,3.514079622e-07
24,52.05541,2.5,0.3618930337,3.689180809e-07
24,52.05541,2.5,0.3776745696,3.872883965e-07
24,52.05541,2.5,0.3941441655,4.065466893e-07
24,52.05541,2.5,0.4113318072,4.267352472e-07
24,52.05541,2.5,0.4292687862,4.478991624e-07
24,52.05541,2.5,0.4479877562,4.700999622e-07
24,52.05541,2.5,0.4675227927,4.933715624e-07
24,52.05541,2.5,0.4879094543,5.177649077e-07
24,52.05541,2.5,0.5091848477,5.433344925e-07
24,52.05541,2.5,0.5313876941,5.701537509e-07
24,52.05541,2.5,0.5545584005,5.982640272e-07
24,52.05541,2.5,0.5787391317,6.277266817e-07
24,52.05541,2.5,0.6039738873,6.586075509e-07
24,52.05541,2.5,0.6303085813,6.909943023e-07
24,52.05541,2.5,0.6577911248,7.249372694e-07
24,52.05541,2.5,0.6864715131,7.605103374e-07
24,52.05541,2.5,0.7164019155,7.977930165e-07
24,52.05541,2.5,0.7476367704,8.368899784e-07
24,52.05541,2.5,0.7802328828,8.778624262e-07
24,52.05541,2.5,0.8142495274,9.207992968e-07
24,52.05541,2.5,0.8497485553,9.657965725e-07
24,52.05541,2.5,0.8867945061,1.012979218e-06
24,52.05541,2.5,0.9254547235,1.062421572e-06
24,52.05541,2.5,0.9657994774,1.114230642e-06
24,52.05541,2.5,1.00790209,1.168522233e-06
24,52.05541,2.5,1.051839068,1.225445497e-06
24,52.05541,2.5,1.097690242,1.285090628e-06
24,52.05541,2.5,1.145538905,1.347586306e-06
24,52.05541,2.5,1.195471968,1.413072157e-06
24,52.05541,2.5,1.247580115,1.481726104e-06
24,52.05541,2.5,1.301957961,1.553657467e-06
24,52.05541,2.5,1.358704229,1.629020871e-06
24,52.05541,2.5,1.41792192,1.707984513e-06
24,52.05541,2.5,1.479718504,1.790760453e-06
24,52.05541,2.5,1.544206108,1.877481048e-06
24,52.05541,2.5,1.611501717,1.968331917e-06
24,52.05541,2.5,1.681727386,2.06351544e-06
24,52.05541,2.5,1.755010455,2.163284034e-06
24,52.05541,2.5,1.831483777,2.267797762e-06
24,52.05541,2.5,1.911285957,2.377279161e-06
24,52.05541,2.5,1.994561593,2.491971354e-06
24,52.05541,2.5,2.081461543,2.612174253e-06
24,52.05541,2.5,2.172143183,2.738081162e-06
24,52.05541,2.5,2.266770692,2.869958421e-06
24,52.05541,2.5,2.365515344,3.00809749e-06
24,52.05541,2.5,2.468555806,3.152853798e-06
24,52.05541,2.5,2.576078461,3.304460432e-06
24,52.05541,2.5,2.688277731,3.463235429e-06
24,52.05541,2.5,2.805356423,3.629527213e-06
24,52.05541,2.5,2.927526089,3.80375553e-06
24,52.05541,2.5,3.055007391,3.986200916e-06
