Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
3,6.51,2.5,0.1819784775,2.082653328e-06
3,6.51,2.5,0.1899150509,2.188862509e-06
3,6.51,2.5,0.198197723,2.300266975e-06
3,6.51,2.5,0.2068415832,2.417115221e-06
3,6.51,2.5,0.2158623785,2.539668562e-06
3,6.51,2.5,0.2252765422,2.668305016e-06
3,6.51,2.5,0.2351012236,2.80321163e-06
3,6.51,2.5,0.2453543192,2.944687945e-06
3,6.51,2.5,0.2560545055,3.093050132e-06
3,6.51,2.5,0.2672212725,3.248748249e-06
3,6.51,2.5,0.2788749596,3.412012035e-06
3,6.51,2.5,0.291036792,3.583202522e-06
3,6.51,2.5,0.3037289199,3.762702136e-06
3,6.51,2.5,0.3169744582,3.951047141e-06
3,6.51,2.5,0.3307975285,4.148519069e-06
3,6.51,2.5,0.3452233035,4.355553003e-06
3,6.51,2.5,0.3602780519,4.572611374e-06
3,6.51,2.5,0.3759891866,4.800333603e-06
3,6.51,2.5,0.3923853141,5.039064003e-06
3,6.51,2.5,0.4094962868,5.289326816e-06
3,6.51,2.5,0.427353257,5.55168106e-06
3,6.51,2.5,0.445988733,5.826889562e-06
3,6.51,2.5,0.4654366386,6.115372696e-06
3,6.51,2.5,0.4857323744,6.41776202e-06
3,6.51,2.5,0.5069128818,6.734733105e-06
3,6.51,2.5,0.5290167103,7.067196375e-06
3,6.51,2.5,0.5520840866,7.415664294e-06
3,6.51,2.5,0.5761569885,7.780897531e-06
3,6.51,2.5,0.6012792199,8.163712254e-06
3,6.51,2.5,0.6274964907,8.565195318e-06
3,6.51,2.5,0.6548564992,8.985970616e-06
3,6.51,2.5,0.6834090186,9.426954074e-06
3,6.51,2.5,0.7132059865,9.889131352e-06
3,6.51,2.5,0.7443015995,1.037380006e-05
3,6.51,2.5,0.7767524106,1.088171882e-05
3,6.51,2.5,0.8106174313,1.141399014e-05
3,6.51,2.5,0.8459582384,1.197180383e-05
3,6.51,2.5,0.8828390849,1.2556709e-05
3,6.51,2.5,0.9213270163,1.316962709e-05
3,6.51,2.5,0.9614919906,1.381188456e-05
3,6.51,2.5,1.003407005,1.448491692e-05
3,6.51,2.5,1.047148228,1.519057293e-05
3,6.51,2.5,1.092795135,1.59299706e-05
3,6.51,2.5,1.140430652,1.670470497e-05
3,6.51,2.5,1.190141306,1.751650668e-05
3,6.51,2.5,1.242017376,1.836758093e-05
3,6.51,2.5,1.296153063,1.925928277e-05
3,6.51,2.5,1.35264665,2.01935287e-05
3,6.51,2.5,1.411600685,2.117240334e-05
3,6.51,2.5,1.473122163,2.219853461e-05
3,6.51,2.5,1.537322715,2.327356308e-05
3,6.51,2.5,1.604318811,2.439978915e-05
3,6.51,2.5,1.674231967,2.557972077e-05
3,6.51,2.5,1.747188962,2.681648545e-05
3,6.51,2.5,1.823322063,2.811206701e-05
3,6.51,2.5,1.902769265,2.946922301e-05
3,6.51,2.5,1.985674531,3.089096576e-05
3,6.51,2.5,2.072188053,3.23810102e-05
3,6.51,2.5,2.162466518,3.3941752e-05
3,6.51,2.5,2.256673382,3.557649076e-05
3,6.51,2.5,2.354979168,3.728883673e-05
3,6.51,2.5,2.45756176,3.908319084e-05
3,6.51,2.5,2.564606724,4.096244142e-05
3,6.51,2.5,2.67630763,4.293052727e-05
