Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
9,19,2.5,0.192748997,1.74325084e-07
9,19,2.5,0.201155249,1.832029139e-07
9,19,2.5,0.2099280768,1.925146922e-07
9,19,2.5,0.2190834621,2.0228117e-07
9,19,2.5,0.2286380832,2.125241683e-07
9,19,2.5,0.238609345,2.232752093e-07
9,19,2.5,0.2490154109,2.345499567e-07
9,19,2.5,0.2598752357,2.463734242e-07
9,19,2.5,0.2712085999,2.587720132e-07
9,19,2.5,0.283036146,2.717832601e-07
9,19,2.5,0.2953794157,2.854263957e-07
9,19,2.5,0.308260889,2.997315686e-07
9,19,2.5,0.3217040255,3.147307126e-07
9,19,2.5,0.3357333062,3.30468562e-07
9,19,2.5,0.3503742787,3.469686747e-07
9,19,2.5,0.3656536032,3.642673837e-07
9,19,2.5,0.3815991008,3.824033038e-07
9,19,2.5,0.3982398044,4.01429784e-07
9,19,2.5,0.4156060109,4.213756272e-07
9,19,2.5,0.4337293364,4.42284613e-07
9,19,2.5,0.4526427736,4.642034228e-07
9,19,2.5,0.4723807514,4.871957146e-07
9,19,2.5,0.4929791973,5.11296645e-07
9,19,2.5,0.514475603,5.365589583e-07
9,19,2.5,0.5369090915,5.630390721e-07
9,19,2.5,0.5603204886,5.908129779e-07
9,19,2.5,0.5847523966,6.199235252e-07
9,19,2.5,0.6102492714,6.504342461e-07
9,19,2.5,0.636857503,6.82413306e-07
9,19,2.5,0.6646254993,7.159514461e-07
9,19,2.5,0.6936037738,7.511008251e-07
9,19,2.5,0.7238450368,7.879379515e-07
9,19,2.5,0.7554042908,8.265451583e-07
9,19,2.5,0.7883389295,8.670308168e-07
9,19,2.5,0.8227088419,9.094583437e-07
9,19,2.5,0.8585765199,9.539198474e-07
9,19,2.5,0.8960071716,1.000514736e-06
9,19,2.5,0.9350688385,1.049372438e-06
9,19,2.5,0.9758325179,1.100569974e-06
9,19,2.5,1.018372292,1.154218194e-06
9,19,2.5,1.062765459,1.210437068e-06
9,19,2.5,1.109092674,1.269381143e-06
