Z,A,SSN(t-tau),Ekn[MeV/n],J(t)[MeV/n^-1 sr^-1 s^-1 m^-2]
11,23,2.5,0.1965626306,4.308559906e-07
11,23,2.5,0.2051351858,4.527885734e-07
11,23,2.5,0.2140815672,4.757929829e-07
11,23,2.5,0.2234180725,4.999204689e-07
11,23,2.5,0.2331617096,5.252249226e-07
11,23,2.5,0.2433302275,5.517841599e-07
11,23,2.5,0.2539421487,5.796368977e-07
11,23,2.5,0.2650168025,6.088449112e-07
11,23,2.5,0.2765743606,6.394734009e-07
11,23,2.5,0.2886358734,6.716150305e-07
11,23,2.5,0.3012233082,7.053173265e-07
11,23,2.5,0.3143595895,7.406547421e-07
11,23,2.5,0.3280686401,7.777061361e-07
11,23,2.5,0.3423754252,8.16581939e-07
11,23,2.5,0.3573059968,8.573403622e-07
11,23,2.5,0.372887542,9.000711251e-07
11,23,2.5,0.3891484316,9.448695783e-07
11,23,2.5,0.406118272,9.91867409e-07
11,23,2.5,0.4238279584,1.041135779e-06
11,23,2.5,0.4423097316,1.092782786e-06
11,23,2.5,0.4615972358,1.146923686e-06
11,23,2.5,0.4817255798,1.203715593e-06
11,23,2.5,0.5027314006,1.263245355e-06
11,23,2.5,0.5246529301,1.325643185e-06
11,23,2.5,0.5475300638,1.391048358e-06
11,23,2.5,0.5714044334,1.45964839e-06
11,23,2.5,0.5963194821,1.531549115e-06
11,23,2.5,0.6223205434,1.60690735e-06
11,23,2.5,0.6494549226,1.685891331e-06
11,23,2.5,0.6777719829,1.768724903e-06
11,23,2.5,0.7073232345,1.855536872e-06
11,23,2.5,0.7381624275,1.946516031e-06
11,23,2.5,0.7703456493,2.04186552e-06
11,23,2.5,0.8039314256,2.141852558e-06
11,23,2.5,0.8389808263,2.246633715e-06
11,23,2.5,0.8755575756,2.356436197e-06
11,23,2.5,0.9137281668,2.471505165e-06
11,23,2.5,0.9535619827,2.592159556e-06
11,23,2.5,0.9951314198,2.718589483e-06
11,23,2.5,1.038512019,2.851068234e-06
11,23,2.5,1.083782603,2.9898915e-06
11,23,2.5,1.131025416,3.135439788e-06
11,23,2.5,1.180326271,3.287943683e-06
11,23,2.5,1.231774707,3.447731686e-06
11,23,2.5,1.285464149,3.61516014e-06
11,23,2.5,1.341492073,3.790682678e-06
11,23,2.5,1.399960184,3.97457867e-06
11,23,2.5,1.460974597,4.167242629e-06
11,23,2.5,1.524646026,4.369103539e-06
11,23,2.5,1.591089985,4.580701606e-06
11,23,2.5,1.66042699,4.80237491e-06
11,23,2.5,1.732782779,5.034596689e-06
11,23,2.5,1.808288535,5.277882643e-06
11,23,2.5,1.887081118,5.532875028e-06
11,23,2.5,1.969303311,5.799982445e-06
11,23,2.5,2.055104073,6.07977168e-06
11,23,2.5,2.144638804,6.372861502e-06
11,23,2.5,2.238069622,6.680013751e-06
11,23,2.5,2.33556565,7.001721526e-06
11,23,2.5,2.437303315,7.338662233e-06
11,23,2.5,2.543466661,7.69157643e-06
11,23,2.5,2.654247672,8.061364933e-06
11,23,2.5,2.769846617,8.448621768e-06
11,23,2.5,2.890472396,8.854154297e-06
11,23,2.5,3.01634291,9.278845804e-06
11,23,2.5,3.147685447,9.723756806e-06
11,23,2.5,3.284737077,1.018960137e-05
11,23,2.5,3.427745067,1.067733819e-05
11,23,2.5,3.576967317,1.118801591e-05
11,23,2.5,3.732672807,1.172287567e-05
11,23,2.5,3.895142067,1.228277357e-05
11,23,2.5,4.064667662,1.286884234e-05
11,23,2.5,4.241554705,1.348231924e-05
11,23,2.5,4.426121379,1.412464508e-05
11,23,2.5,4.618699491,1.479684286e-05
11,23,2.5,4.819635042,1.550024215e-05
11,23,2.5,5.029288821,1.623629048e-05
11,23,2.5,5.248037025,1.700664215e-05
11,23,2.5,5.476271903,1.781251455e-05
11,23,2.5,5.714402421,1.865545468e-05
11,23,2.5,5.962854961,1.953713678e-05
11,23,2.5,6.222074043,2.045943189e-05
11,23,2.5,6.492523073,2.142378139e-05
11,23,2.5,6.77468513,2.243196433e-05
11,23,2.5,7.069063767,2.348588718e-05
11,23,2.5,7.376183861,2.458762239e-05
11,23,2.5,7.696592484,2.573886606e-05
11,23,2.5,8.03085981,2.694163245e-05
11,23,2.5,8.379580059,2.819804614e-05
11,23,2.5,8.74337247,2.951033599e-05
11,23,2.5,9.122882321,3.088048321e-05
11,23,2.5,9.518781977,3.231072115e-05
11,23,2.5,9.931771979,3.38033465e-05
11,23,2.5,10.36258218,3.536065515e-05
11,23,2.5,10.81197291,3.698494175e-05
11,23,2.5,11.28073618,3.867861314e-05
11,23,2.5,11.76969698,4.044404402e-05
11,23,2.5,12.27971452,4.228344534e-05
11,23,2.5,12.81168361,4.419945009e-05
11,23,2.5,13.36653607,4.619455105e-05
11,23,2.5,13.94524212,4.827103893e-05
11,23,2.5,14.54881192,5.043080526e-05
11,23,2.5,15.17829705,5.267684225e-05
11,23,2.5,15.83479216,5.501158616e-05
11,23,2.5,16.51943659,5.743699167e-05
11,23,2.5,17.23341601,5.995429542e-05
11,23,2.5,17.97796424,6.256686756e-05
11,23,2.5,18.75436501,6.52768791e-05
11,23,2.5,19.5639538,6.808558621e-05
11,23,2.5,20.40811978,7.099312261e-05
11,23,2.5,21.28830773,7.400325902e-05
11,23,2.5,22.2060201,7.711762076e-05
11,23,2.5,23.16281905,8.033627993e-05
11,23,2.5,24.1603286,8.365771012e-05
11,23,2.5,25.2002368,8.708612129e-05
11,23,2.5,26.28429797,9.062224745e-05
11,23,2.5,27.414335,9.426437126e-05
11,23,2.5,28.59224167,9.800866845e-05
11,23,2.5,29.81998511,0.0001018598621
11,23,2.5,31.09960819,0.0001058174085
11,23,2.5,32.43323207,0.0001098771056
11,23,2.5,33.82305871,0.0001140321752
11,23,2.5,35.27137352,0.0001182879886
11,23,2.5,36.78054798,0.0001226423439
11,23,2.5,38.35304231,0.0001270878352
11,23,2.5,39.99140823,0.0001316141566
11,23,2.5,41.69829175,0.0001362275514
11,23,2.5,43.47643589,0.0001409238575
11,23,2.5,45.3286836,0.0001456918258
11,23,2.5,47.25798058,0.0001505172652
11,23,2.5,49.26737815,0.0001554076242
11,23,2.5,51.36003616,0.0001603566408
11,23,2.5,53.53922592,0.000165348796
11,23,2.5,55.80833308,0.0001703660086
11,23,2.5,58.17086057,0.0001754173638
11,23,2.5,60.63043152,0.0001804945905
11,23,2.5,63.19079213,0.000185577798
11,23,2.5,65.85581459,0.0001906454316
11,23,2.5,68.6294999,0.0001957086554
11,23,2.5,71.51598073,0.0002007574877
11,23,2.5,74.51952414,0.0002057678861
11,23,2.5,77.64453438,0.0002107155642
11,23,2.5,80.89555553,0.0002156140642
11,23,2.5,84.27727409,0.0002204521114
11,23,2.5,87.79452154,0.000225202
11,23,2.5,91.45227678,0.0002298376934
11,23,2.5,95.25566847,0.0002343752541
11,23,2.5,99.20997732,0.0002388026568
11,23,2.5,103.3206382,0.0002430893252
11,23,2.5,107.5932422,0.0002472086716
11,23,2.5,112.0335384,0.0002511792785
11,23,2.5,116.647436,0.0002549890346
11,23,2.5,121.4410055,0.000258605609
11,23,2.5,126.4204806,0.0002620032574
11,23,2.5,131.592259,0.0002652029838
11,23,2.5,136.9629043,0.0002681934125
11,23,2.5,142.5391463,0.000270941951
11,23,2.5,148.3278824,0.000273425304
11,23,2.5,154.3361781,0.0002756668007
11,23,2.5,160.5712673,0.0002776569167
11,23,2.5,167.0405529,0.0002793649112
11,23,2.5,173.7516071,0.0002807718819
11,23,2.5,180.7121711,0.0002819031851
11,23,2.5,187.9301553,0.000282751988
11,23,2.5,195.4136386,0.0002832910174
11,23,2.5,203.1708687,0.0002835065747
11,23,2.5,211.2102608,0.0002834250531
11,23,2.5,219.5403971,0.0002830430594
11,23,2.5,228.1700266,0.0002823390333
11,23,2.5,237.1080634,0.0002813063841
11,23,2.5,246.3635863,0.0002799727656
11,23,2.5,255.9458374,0.0002783399286
11,23,2.5,265.8642215,0.0002763952142
11,23,2.5,276.1283045,0.0002741407657
11,23,2.5,286.7478127,0.0002716042745
11,23,2.5,297.7326315,0.0002687926199
11,23,2.5,309.0928042,0.0002657028678
11,23,2.5,320.8385314,0.0002623444207
11,23,2.5,332.98017,0.0002587429117
11,23,2.5,345.528232,0.0002549100138
11,23,2.5,358.4933843,0.0002508529777
11,23,2.5,371.8864481,0.0002465885536
11,23,2.5,385.7183983,0.0002421395182
11,23,2.5,400.0003635,0.0002375206355
11,23,2.5,414.7436262,0.0002327487864
11,23,2.5,429.9596231,0.0002278420563
11,23,2.5,445.6599452,0.0002228108605
11,23,2.5,461.8563394,0.0002176673938
11,23,2.5,478.560709,0.0002124309714
11,23,2.5,495.7851156,0.000207116504
11,23,2.5,513.5417805,0.0002017329744
11,23,2.5,531.8430872,0.0001962936531
11,23,2.5,550.7015834,0.0001908167599
11,23,2.5,570.1299843,0.0001853197028
11,23,2.5,590.1411753,0.0001798071095
11,23,2.5,610.7482158,0.0001742896516
11,23,2.5,631.9643432,0.0001688010916
11,23,2.5,653.8029769,0.0001633574939
11,23,2.5,676.2777231,0.0001579434254
11,23,2.5,699.4023798,0.0001525716689
11,23,2.5,723.1909422,0.0001472761199
11,23,2.5,747.6576084,0.0001420587828
11,23,2.5,772.8167854,0.000136915324
11,23,2.5,798.683096,0.0001318587887
11,23,2.5,825.2713848,0.0001269022149
11,23,2.5,852.5967262,0.0001220584601
11,23,2.5,880.6744313,0.0001173261047
11,23,2.5,909.5200557,0.0001126891134
11,23,2.5,939.149408,0.0001081658071
11,23,2.5,969.5785575,0.0001037815052
11,23,2.5,1000.823844,9.950521278e-05
11,23,2.5,1032.901884,9.532670013e-05
11,23,2.5,1065.829585,9.129227263e-05
11,23,2.5,1099.624149,8.739547252e-05
11,23,2.5,1134.303087,8.359910542e-05
11,23,2.5,1169.884226,7.992521085e-05
11,23,2.5,1206.38572,7.640151459e-05
11,23,2.5,1243.826061,7.299387474e-05
11,23,2.5,1282.224089,6.970051251e-05
11,23,2.5,1321.599004,6.654289221e-05
11,23,2.5,1361.970375,6.35082902e-05
11,23,2.5,1403.358152,6.058536185e-05
11,23,2.5,1445.782678,5.779368716e-05
11,23,2.5,1489.2647,5.511625192e-05
11,23,2.5,1533.825383,5.253248646e-05
11,23,2.5,1579.486317,5.007072611e-05
11,23,2.5,1626.269533,4.772697268e-05
11,23,2.5,1674.197516,4.545662848e-05
11,23,2.5,1723.293215,4.328012804e-05
11,23,2.5,1773.580056,4.123523738e-05
11,23,2.5,1825.081955,3.927383249e-05
11,23,2.5,1877.823334,3.73675731e-05
11,23,2.5,1931.829129,3.556654503e-05
11,23,2.5,1987.124808,3.387042602e-05
11,23,2.5,2043.736381,3.22268466e-05
11,23,2.5,2101.690417,3.064024484e-05
11,23,2.5,2161.014056,2.915546954e-05
11,23,2.5,2221.735024,2.774258875e-05
11,23,2.5,2283.881646,2.636380803e-05
11,23,2.5,2347.482862,2.505223026e-05
11,23,2.5,2412.568243,2.383568198e-05
11,23,2.5,2479.168004,2.266087893e-05
11,23,2.5,2547.313018,2.151708709e-05
11,23,2.5,2617.034836,2.043845519e-05
11,23,2.5,2688.365698,1.942740279e-05
11,23,2.5,2761.338554,1.844066241e-05
11,23,2.5,2835.987075,1.749020422e-05
11,23,2.5,2912.345674,1.660842242e-05
11,23,2.5,2990.44952,1.577444012e-05
11,23,2.5,3070.334558,1.49553634e-05
11,23,2.5,3152.037522,1.41747626e-05
11,23,2.5,3235.595957,1.345064375e-05
11,23,2.5,3321.048237,1.2758738e-05
11,23,2.5,3408.43358,1.208120587e-05
11,23,2.5,3497.792069,1.144560579e-05
11,23,2.5,3589.164674,1.085786415e-05
11,23,2.5,3682.593263,1.028964059e-05
11,23,2.5,3778.120633,9.733269381e-06
11,23,2.5,3875.790521,9.220100475e-06
11,23,2.5,3975.64763,8.749193583e-06
11,23,2.5,4077.737646,8.289517677e-06
11,23,2.5,4182.107265,7.840509814e-06
11,23,2.5,4288.80421,7.426841885e-06
11,23,2.5,4397.877254,7.044778634e-06
11,23,2.5,4509.376245,6.67023358e-06
11,23,2.5,4623.352128,6.305991897e-06
11,23,2.5,4739.856967,5.971643897e-06
11,23,2.5,4858.943973,5.661948644e-06
11,23,2.5,4980.667525,5.357032154e-06
11,23,2.5,5105.083197,5.060995138e-06
11,23,2.5,5232.247784,4.790601336e-06
11,23,2.5,5362.219326,4.540364187e-06
11,23,2.5,5495.05714,4.293166456e-06
11,23,2.5,5630.82184,4.052759486e-06
11,23,2.5,5769.57537,3.834133602e-06
11,23,2.5,5911.381031,3.632660983e-06
11,23,2.5,6056.303513,3.433373489e-06
11,23,2.5,6204.408918,3.238548937e-06
11,23,2.5,6355.764797,3.061684123e-06
11,23,2.5,6510.440177,2.899835852e-06
11,23,2.5,6668.505597,2.740021658e-06
11,23,2.5,6830.033135,2.582505917e-06
11,23,2.5,6995.096443,2.439185731e-06
11,23,2.5,7163.770784,2.309267263e-06
11,23,2.5,7336.133061,2.181725606e-06
11,23,2.5,7512.261857,2.054758429e-06
11,23,2.5,7692.237468,1.938485373e-06
11,23,2.5,7876.141941,1.834397063e-06
11,23,2.5,8064.059111,1.733342872e-06
11,23,2.5,8256.074639,1.631624436e-06
11,23,2.5,8452.276053,1.537258395e-06
11,23,2.5,8652.752786,1.453885994e-06
11,23,2.5,8857.596216,1.374258724e-06
11,23,2.5,9066.899713,1.293234771e-06
11,23,2.5,9280.758674,1.216559432e-06
11,23,2.5,9499.270573,1.149685801e-06
11,23,2.5,9722.535002,1.087166547e-06
11,23,2.5,9950.653718,1.023007107e-06
11,23,2.5,10183.73069,9.606769213e-07
11,23,2.5,10421.87214,9.06963026e-07
11,23,2.5,10665.1866,8.579593467e-07
11,23,2.5,10913.78496,8.078555366e-07
11,23,2.5,11167.78052,7.581591974e-07
11,23,2.5,11427.28903,7.143154242e-07
11,23,2.5,11692.42876,6.755207778e-07
11,23,2.5,11963.32053,6.36677774e-07
11,23,2.5,12240.08781,5.973928156e-07
11,23,2.5,12522.85671,5.615690768e-07
11,23,2.5,12811.75611,5.308316445e-07
11,23,2.5,13106.91765,5.008755138e-07
11,23,2.5,13408.47584,4.700730683e-07
